Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,74.39,75.09,72.84,72.96,3707500,72.96
2011-08-01,76.60,76.66,74.36,75.24,3199400,75.24
2011-07-29,75.78,76.12,74.36,75.70,2852000,75.70
2011-07-28,76.24,77.89,76.03,76.51,2850300,76.51
2011-07-27,76.40,78.40,76.00,76.12,5142200,76.12
2011-07-26,76.31,76.31,74.29,75.55,2359700,75.55
2011-07-25,75.47,76.88,75.31,76.45,1438900,76.45
2011-07-22,76.56,76.89,75.96,76.21,1161500,76.21
2011-07-21,75.53,77.10,75.53,76.65,1934800,76.65
2011-07-20,75.44,75.44,74.36,75.09,2142200,75.09
2011-07-19,73.81,74.69,73.60,74.63,1477200,74.63
2011-07-18,73.80,73.85,72.71,73.44,2125300,73.44
2011-07-15,74.36,74.36,73.07,73.91,1827100,73.91
2011-07-14,74.88,75.35,73.54,74.04,1826800,74.04
2011-07-13,74.47,75.49,74.19,74.61,1489900,74.61
2011-07-12,74.35,74.71,73.69,73.92,1987600,73.92
2011-07-11,74.75,74.97,74.33,74.67,1672800,74.67
2011-07-08,75.87,76.36,75.21,75.68,1841000,75.68
2011-07-07,77.08,77.20,76.19,76.99,2091800,76.99
2011-07-06,75.92,76.81,75.73,76.43,1790200,76.43
2011-07-05,76.73,76.80,75.77,75.96,2060500,75.96
2011-07-01,75.00,77.08,74.43,76.93,2896000,76.93
2011-06-30,74.22,75.82,74.16,74.93,2161300,74.93
2011-06-29,73.48,74.34,73.22,74.21,2705900,74.21
2011-06-28,72.52,73.15,72.05,73.03,1629500,73.03
2011-06-27,71.40,72.41,71.38,72.12,1570300,72.12
2011-06-24,72.35,72.60,71.52,71.67,2563900,71.67
2011-06-23,71.49,72.49,71.49,72.37,2907200,72.37
2011-06-22,72.94,73.98,72.86,73.20,2505200,73.20
2011-06-21,71.96,73.47,71.85,73.18,1867600,73.18
2011-06-20,70.24,72.00,70.24,71.61,2008300,71.61
2011-06-17,71.07,71.34,70.42,70.97,2444800,70.97
2011-06-16,71.12,71.33,69.67,70.21,2806900,70.21
2011-06-15,71.57,72.01,70.77,71.01,2687500,71.01
2011-06-14,71.41,72.60,71.34,72.11,2518300,72.11
2011-06-13,70.48,71.18,70.13,70.59,1642400,70.59
2011-06-10,71.26,71.57,70.28,70.37,2250300,70.37
2011-06-09,70.69,71.86,70.41,71.44,2058500,71.44
2011-06-08,71.05,71.07,70.35,70.53,2471800,70.53
2011-06-07,70.64,71.72,70.48,71.28,2435500,71.28
2011-06-06,70.50,71.32,70.23,70.37,2105200,70.37
2011-06-03,70.60,71.20,70.32,70.72,2149800,70.72
2011-06-02,70.93,72.18,70.89,71.62,2025700,71.62
2011-06-01,73.26,73.50,70.73,70.79,3156100,70.79
2011-05-31,73.12,73.47,72.41,73.31,2265200,73.31
2011-05-27,72.41,73.00,72.35,72.57,1602800,72.57
2011-05-26,71.33,72.11,70.96,72.01,2542100,72.01
2011-05-25,72.14,72.43,70.57,72.14,1840400,72.14
2011-05-24,71.83,72.03,70.87,71.18,1800600,71.18
2011-05-23,71.34,71.93,70.82,71.78,2075700,71.78
2011-05-20,72.48,72.69,71.77,72.26,1596200,72.26
2011-05-19,72.41,73.29,72.38,72.71,1738900,72.71
2011-05-18,70.74,72.24,70.32,72.11,1939100,72.11
2011-05-17,71.30,71.68,70.53,70.85,2683400,70.85
2011-05-16,71.39,72.16,71.25,71.37,1967700,71.37
2011-05-13,73.00,73.20,71.25,71.57,2369700,71.57
2011-05-12,73.01,73.31,72.16,72.98,1800000,72.98
2011-05-11,74.24,74.24,72.74,73.03,2416300,73.03
2011-05-10,73.93,74.47,73.51,74.22,1908400,74.22
2011-05-09,72.82,73.43,72.33,73.14,1708000,73.14
2011-05-06,73.26,73.50,72.60,72.95,2398300,72.95
2011-05-05,71.74,73.03,71.32,72.22,3120000,72.22
2011-05-04,73.57,74.08,72.14,72.31,3486300,72.31
2011-05-03,74.14,74.83,73.86,74.65,2130500,74.25
2011-05-02,74.60,75.00,74.10,74.61,2978100,74.21
2011-04-29,73.69,74.96,73.43,74.68,3575000,74.28
2011-04-28,71.96,74.36,71.01,73.87,6960900,73.47
2011-04-27,68.40,68.82,67.99,68.41,2529600,68.04
2011-04-26,67.23,68.49,67.06,68.42,2000000,68.05
2011-04-25,66.47,67.13,66.32,67.04,2092600,66.68
2011-04-21,66.99,67.41,66.15,66.27,2787900,65.91
2011-04-20,67.68,68.12,65.94,66.68,3464300,66.32
2011-04-19,67.00,67.44,66.73,67.25,2157800,66.89
2011-04-18,67.12,67.34,66.38,66.90,2556200,66.54
2011-04-15,67.19,68.00,66.93,67.74,2414700,67.38
2011-04-14,67.03,67.12,66.32,66.98,2721000,66.62
2011-04-13,67.95,68.19,67.45,67.83,1549400,67.47
2011-04-12,67.38,68.27,67.11,67.77,1659900,67.41
2011-04-11,67.81,68.09,67.38,67.66,1369200,67.30
2011-04-08,68.57,68.57,67.10,67.69,1961200,67.33
2011-04-07,68.43,68.81,67.92,68.13,1228500,67.76
2011-04-06,69.05,69.16,68.00,68.64,1588700,68.27
2011-04-05,69.29,69.31,68.62,68.75,1845800,68.38
2011-04-04,69.63,69.90,69.08,69.58,1431200,69.21
2011-04-01,69.64,70.00,69.17,69.32,1382400,68.95
2011-03-31,68.78,69.96,68.78,69.27,2126900,68.90
2011-03-30,69.96,70.00,68.92,68.99,2956800,68.62
2011-03-29,68.68,69.59,68.49,69.56,1978700,69.19
2011-03-28,68.73,69.00,68.43,68.77,1700400,68.40
2011-03-25,67.84,69.00,67.81,68.68,2271200,68.31
2011-03-24,66.91,67.79,66.86,67.75,2125500,67.39
2011-03-23,67.09,67.33,66.50,66.68,1919700,66.32
2011-03-22,67.91,68.49,67.17,67.30,2241900,66.94
2011-03-21,67.00,68.00,66.79,67.81,1986500,67.45
2011-03-18,66.88,67.11,65.99,66.28,3607000,65.92
2011-03-17,65.35,66.75,65.07,65.84,3587000,65.49
2011-03-16,65.46,65.63,63.94,64.33,3846400,63.99
2011-03-15,64.05,66.00,63.90,65.56,3508900,65.21
2011-03-14,65.84,66.25,64.97,65.93,3330000,65.58
2011-03-11,65.73,66.92,65.39,66.53,4716800,66.17
2011-03-10,64.97,65.45,64.00,64.95,3519300,64.60
2011-03-09,65.40,65.92,64.90,65.40,2094700,65.05
2011-03-08,65.01,65.80,64.74,65.66,2774700,65.31
2011-03-07,65.65,65.92,64.28,64.84,2720700,64.49
2011-03-04,65.71,65.75,64.71,65.30,2776600,64.95
2011-03-03,65.63,65.81,65.08,65.73,2842900,65.38
2011-03-02,64.75,65.71,64.64,65.16,2324800,64.81
2011-03-01,65.90,66.01,64.65,64.80,3658700,64.45
2011-02-28,65.08,65.67,64.89,65.58,3063200,65.23
2011-02-25,64.50,64.98,64.29,64.66,1917800,64.31
2011-02-24,63.63,64.47,63.18,64.11,3955600,63.77
2011-02-23,64.49,64.54,62.79,63.70,5796600,63.36
2011-02-22,64.28,65.10,64.01,64.40,4641000,64.05
2011-02-18,65.12,65.45,64.78,65.00,3136200,64.65
2011-02-17,64.98,65.42,64.67,65.20,2661900,64.85
2011-02-16,64.78,65.50,64.61,64.91,3055000,64.56
2011-02-15,64.35,64.63,64.24,64.46,2227400,64.11
2011-02-14,63.90,64.58,63.69,64.43,2465600,64.08
2011-02-11,62.63,64.34,62.63,64.10,2999200,63.76
2011-02-10,61.87,63.22,61.80,63.04,3505700,62.70
2011-02-09,61.36,62.27,61.32,62.12,2612500,61.79
2011-02-08,61.50,61.71,61.10,61.60,1977500,61.27
2011-02-07,61.42,61.81,61.10,61.50,2007000,61.17
2011-02-04,60.86,61.15,60.44,61.07,3027200,60.74
2011-02-03,60.90,61.37,60.69,60.83,3856500,60.50
2011-02-02,61.70,62.14,60.80,60.90,2775400,60.57
2011-02-01,61.71,62.22,61.57,62.12,3050000,61.39
2011-01-31,60.56,61.39,60.52,61.19,4333100,60.47
2011-01-28,62.34,62.50,60.22,60.38,5749800,59.67
2011-01-27,62.81,63.22,62.27,62.31,3013400,61.58
2011-01-26,62.89,63.63,62.08,62.73,5082500,61.99
2011-01-25,63.96,64.29,62.75,62.92,8380800,62.18
2011-01-24,63.64,64.53,63.55,64.31,3306100,63.55
2011-01-21,64.78,64.96,63.66,63.77,3202200,63.02
2011-01-20,64.24,64.55,63.45,64.18,3503800,63.43
2011-01-19,65.35,65.35,64.50,64.85,2688200,64.09
2011-01-18,65.64,65.86,64.78,65.28,2437500,64.51
2011-01-14,65.63,65.86,65.16,65.40,2214600,64.63
2011-01-13,65.47,66.00,65.20,65.68,1389900,64.91
2011-01-12,65.56,65.72,64.85,65.42,1746900,64.65
2011-01-11,66.00,66.00,64.62,64.96,3301300,64.20
2011-01-10,64.81,65.91,64.55,65.61,2964700,64.84
2011-01-07,63.98,65.32,63.98,65.04,4310200,64.27
2011-01-06,63.86,64.01,63.43,63.80,2600000,63.05
