Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,24.80,24.81,24.75,24.77,4578400,24.77
2011-07-18,24.80,24.82,24.74,24.80,3170500,24.80
2011-07-15,24.75,24.82,24.73,24.82,3936100,24.82
2011-07-14,24.76,24.82,24.72,24.72,4190400,24.72
2011-07-13,24.79,24.89,24.73,24.74,12546000,24.74
2011-07-12,24.72,24.82,24.71,24.80,9370000,24.80
2011-07-11,24.75,24.78,24.71,24.74,2916400,24.74
2011-07-08,24.66,24.80,24.66,24.78,3624600,24.78
2011-07-07,24.66,24.74,24.63,24.72,4387100,24.72
2011-07-06,24.60,24.66,24.59,24.62,3079600,24.62
2011-07-05,24.65,24.67,24.58,24.58,3615300,24.58
2011-07-01,24.62,24.69,24.61,24.66,3056600,24.66
2011-06-30,24.61,24.64,24.60,24.61,4195700,24.61
2011-06-29,24.63,24.66,24.60,24.60,3341300,24.60
2011-06-28,24.64,24.66,24.61,24.61,4516500,24.61
2011-06-27,24.64,24.67,24.60,24.60,5064800,24.60
2011-06-24,24.68,24.70,24.63,24.64,4368700,24.64
2011-06-23,24.67,24.70,24.65,24.70,5313600,24.70
2011-06-22,24.72,24.73,24.64,24.65,3019600,24.65
2011-06-21,24.64,24.75,24.63,24.74,4663400,24.74
2011-06-20,24.60,24.63,24.58,24.63,4508900,24.63
2011-06-17,24.61,24.62,24.56,24.59,4431100,24.59
2011-06-16,24.61,24.62,24.57,24.57,2964200,24.57
2011-06-15,24.61,24.63,24.60,24.60,4754900,24.60
2011-06-14,24.63,24.66,24.60,24.62,4486000,24.62
2011-06-13,24.62,24.64,24.59,24.59,3454800,24.59
2011-06-10,24.61,24.64,24.60,24.62,2777100,24.62
2011-06-09,24.60,24.63,24.58,24.58,6041700,24.58
2011-06-08,24.61,24.64,24.57,24.59,6540300,24.59
2011-06-07,24.61,24.65,24.59,24.64,1976700,24.64
2011-06-06,24.58,24.64,24.56,24.56,5135700,24.56
2011-06-03,24.60,24.61,24.56,24.57,2981600,24.57
2011-06-02,24.57,24.63,24.55,24.62,2832400,24.62
2011-06-01,24.54,24.56,24.51,24.56,6792100,24.56
2011-05-31,24.59,24.60,24.52,24.53,5323800,24.53
2011-05-27,24.59,24.60,24.55,24.58,9160800,24.58
2011-05-26,24.58,24.60,24.57,24.59,4153800,24.59
2011-05-25,24.56,24.60,24.55,24.60,2840000,24.60
2011-05-24,24.56,24.60,24.55,24.56,2213700,24.56
2011-05-23,24.55,24.58,24.51,24.54,7058300,24.54
2011-05-20,24.45,24.47,24.42,24.46,2890100,24.46
2011-05-19,24.45,24.47,24.42,24.46,3330700,24.46
2011-05-18,24.41,24.49,24.40,24.45,7674200,24.45
2011-05-17,24.42,24.44,24.30,24.41,7978000,24.41
2011-05-16,24.40,24.46,24.39,24.46,3552200,24.46
