Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,34.04,34.31,33.87,34.23,3050200,34.23
2011-07-18,34.09,34.21,33.57,34.07,2962600,34.07
2011-07-15,34.05,34.52,34.04,34.35,3288000,34.35
2011-07-14,33.82,34.18,33.51,33.81,2504400,33.81
2011-07-13,33.43,34.10,33.37,33.85,3372800,33.85
2011-07-12,33.31,33.40,32.90,33.19,3783700,33.19
2011-07-11,34.44,34.44,33.55,33.64,3416200,33.64
2011-07-08,34.86,35.49,34.86,35.44,2406600,35.44
2011-07-07,34.91,35.48,34.91,35.40,3423900,35.40
2011-07-06,34.41,34.44,34.27,34.36,2331700,34.36
2011-07-05,34.65,34.92,34.60,34.67,1702800,34.67
2011-07-01,34.27,34.83,34.23,34.72,2555500,34.72
2011-06-30,34.15,34.33,34.07,34.27,3987300,34.27
2011-06-29,33.76,34.04,33.67,33.92,5338000,33.92
2011-06-28,32.86,33.34,32.80,33.24,4484400,33.24
2011-06-27,32.20,32.75,32.16,32.65,3616800,32.65
2011-06-24,32.69,32.70,31.86,31.87,3576800,31.87
2011-06-23,33.06,33.15,32.39,32.76,4844700,32.76
2011-06-22,33.83,33.90,33.65,33.67,3580000,33.67
2011-06-21,33.72,34.10,33.70,34.02,3010000,34.02
2011-06-20,33.27,33.53,33.05,33.37,2272900,33.37
2011-06-17,33.45,33.56,32.99,33.34,5440200,33.34
2011-06-16,33.73,33.75,32.79,32.98,5501800,32.98
2011-06-15,34.23,34.34,33.93,34.04,5728000,34.04
2011-06-14,34.55,34.83,34.44,34.61,3586600,34.61
2011-06-13,34.43,34.67,34.39,34.63,4028300,34.33
2011-06-10,34.62,34.62,34.20,34.24,2964800,33.94
2011-06-09,34.49,34.96,34.42,34.70,4050100,34.40
2011-06-08,35.10,35.29,34.47,34.55,4351400,34.25
2011-06-07,35.60,36.00,35.25,35.27,4945600,34.96
2011-06-06,35.70,35.85,35.47,35.50,2813800,35.19
2011-06-03,35.79,36.08,35.54,35.80,4024200,35.49
2011-06-02,36.11,36.13,35.51,35.61,3984500,35.30
2011-06-01,36.19,36.28,35.42,35.49,3570400,35.18
2011-05-31,36.10,36.41,36.02,36.41,7931900,36.09
2011-05-27,35.61,35.67,35.42,35.67,3557500,35.36
2011-05-26,35.49,35.60,35.17,35.52,2269500,35.21
2011-05-25,35.60,35.61,35.15,35.60,2730500,35.29
2011-05-24,35.23,35.48,35.17,35.36,3683700,35.05
2011-05-23,34.93,35.27,34.72,35.24,4613100,34.93
2011-05-20,35.70,35.85,35.36,35.76,3480200,35.45
2011-05-19,35.32,35.91,35.22,35.82,3326100,35.51
2011-05-18,34.85,35.30,34.65,35.16,7647900,34.86
2011-05-17,35.34,35.40,34.37,34.50,10651800,34.20
2011-05-16,36.73,36.95,35.60,35.73,21424500,35.42
2011-05-13,40.53,40.94,40.33,40.89,2410500,40.54
2011-05-12,40.51,40.64,40.26,40.60,2453600,40.25
2011-05-11,41.46,41.56,40.58,40.68,3177800,40.33
2011-05-10,40.53,41.60,40.53,41.55,3272600,41.19
2011-05-09,39.77,40.74,39.77,40.64,2370300,40.29
2011-05-06,39.94,40.25,39.80,39.98,2616700,39.63
2011-05-05,39.45,39.91,39.31,39.57,1835100,39.23
2011-05-04,39.90,40.16,39.40,39.66,3848800,39.32
2011-05-03,40.30,40.36,39.78,39.99,1997000,39.64
2011-05-02,40.05,41.18,40.01,40.40,5903700,40.05
2011-04-29,39.92,40.07,39.63,40.05,2900000,39.70
2011-04-28,39.49,39.91,39.39,39.75,3213400,39.41
2011-04-27,39.20,39.45,39.09,39.39,2173600,39.05
2011-04-26,38.69,39.30,38.60,39.29,2200000,38.95
2011-04-25,38.88,39.00,38.55,38.76,1273900,38.42
2011-04-21,39.22,39.35,38.85,39.03,2029300,38.69
2011-04-20,39.12,39.47,39.00,39.08,4443600,38.74
2011-04-19,39.01,39.24,38.48,38.70,3745200,38.36
2011-04-18,38.69,38.72,38.04,38.32,3261000,37.99
2011-04-15,38.75,39.04,38.75,39.01,3482200,38.67
2011-04-14,38.42,38.98,38.06,38.90,4341800,38.56
2011-04-13,37.93,38.36,37.46,38.26,4114700,37.93
2011-04-12,37.67,37.93,37.41,37.85,2055100,37.52
2011-04-11,38.21,38.60,37.44,37.59,6105700,37.26
2011-04-08,39.52,39.66,38.45,38.70,6358700,38.36
2011-04-07,39.55,39.94,39.45,39.52,4566500,39.18
2011-04-06,38.82,39.82,38.82,39.81,8544000,39.47
2011-04-05,38.81,39.06,38.62,38.98,5134500,38.64
