Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,37.83,38.36,37.52,37.52,2180900,37.52
2011-08-01,38.69,38.76,37.81,38.04,1469900,38.04
2011-07-29,38.10,38.59,38.00,38.22,1284700,38.22
2011-07-28,38.53,38.99,38.30,38.41,1045900,38.41
2011-07-27,38.83,38.83,38.43,38.50,2431900,38.50
2011-07-26,39.35,39.64,38.75,39.03,2714900,39.03
2011-07-25,40.41,40.77,40.15,40.46,1182300,40.46
2011-07-22,41.19,41.24,40.59,40.68,906100,40.68
2011-07-21,41.34,41.60,41.10,41.19,965200,41.19
2011-07-20,40.97,41.10,40.74,40.87,576000,40.87
2011-07-19,40.33,40.88,40.33,40.88,757800,40.88
2011-07-18,40.42,40.51,39.90,40.20,625700,40.20
2011-07-15,40.28,40.61,40.11,40.50,804100,40.50
2011-07-14,40.55,40.80,40.06,40.14,696500,40.14
2011-07-13,40.94,41.17,40.55,40.63,684500,40.63
2011-07-12,40.49,41.20,40.49,40.68,732200,40.68
2011-07-11,40.71,40.87,40.47,40.69,718200,40.69
2011-07-08,40.89,41.23,40.61,41.15,832900,41.15
2011-07-07,41.43,41.50,41.27,41.39,801600,41.39
2011-07-06,40.95,41.24,40.89,41.11,845600,41.11
2011-07-05,41.28,41.28,40.88,41.08,978700,41.08
2011-07-01,40.59,41.40,40.54,41.31,913200,41.31
2011-06-30,40.27,40.91,40.00,40.54,906600,40.54
2011-06-29,39.91,40.23,39.74,40.16,774200,40.16
2011-06-28,39.61,39.84,39.41,39.72,809700,39.72
2011-06-27,39.11,39.66,39.11,39.47,497900,39.47
2011-06-24,39.44,39.72,39.03,39.20,1043900,39.20
2011-06-23,39.09,39.57,38.60,39.36,1220800,39.36
2011-06-22,39.58,40.00,39.50,39.52,775700,39.52
2011-06-21,39.58,39.82,39.27,39.79,859500,39.79
2011-06-20,39.13,39.52,39.06,39.33,773900,39.33
2011-06-17,39.05,39.29,38.79,39.18,1615300,39.18
2011-06-16,38.52,38.95,38.33,38.70,1295800,38.70
2011-06-15,38.67,38.82,38.17,38.52,1505800,38.52
2011-06-14,38.59,39.07,38.57,38.98,1305100,38.98
2011-06-13,38.64,38.94,38.13,38.35,1484500,38.35
2011-06-10,39.36,39.38,38.56,38.62,1605300,38.62
2011-06-09,39.64,39.66,39.29,39.46,857700,39.46
2011-06-08,39.60,39.84,39.45,39.60,1041300,39.60
2011-06-07,39.48,40.12,39.25,39.79,1806900,39.79
2011-06-06,39.51,39.65,38.99,39.02,1200900,39.02
2011-06-03,39.33,39.92,39.32,39.70,1013400,39.70
2011-06-02,39.84,40.25,39.58,39.72,1143000,39.72
2011-06-01,40.43,40.52,39.78,39.79,1386600,39.79
2011-05-31,40.36,40.60,40.05,40.52,1623700,40.52
2011-05-27,40.06,40.07,39.67,39.94,1051400,39.94
2011-05-26,39.74,40.21,39.46,40.00,876500,40.00
