Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,31.68,31.90,31.45,31.88,1466700,31.88
2011-07-18,31.73,31.81,31.46,31.58,1478200,31.58
2011-07-15,32.04,32.09,31.67,31.84,2658700,31.84
2011-07-14,32.08,32.11,31.80,32.00,2825500,32.00
2011-07-13,32.33,32.43,31.93,32.03,2107200,32.03
2011-07-12,31.96,32.37,31.88,32.13,2756800,32.13
2011-07-11,32.18,32.20,31.88,32.06,1523500,32.06
2011-07-08,32.61,32.66,32.34,32.54,1400300,32.54
2011-07-07,32.76,32.86,32.52,32.83,1989800,32.83
2011-07-06,32.64,32.81,32.38,32.60,1459400,32.60
2011-07-05,32.89,32.89,32.54,32.65,1996100,32.65
2011-07-01,32.68,32.96,32.53,32.93,1720100,32.93
2011-06-30,32.39,32.68,32.11,32.64,2496800,32.64
2011-06-29,32.16,32.37,31.97,32.24,1994900,32.24
2011-06-28,31.95,32.15,31.81,32.09,2110700,32.09
2011-06-27,31.28,32.02,31.26,31.91,3311100,31.91
2011-06-24,31.65,32.03,31.08,31.08,4761100,31.08
2011-06-23,31.42,31.61,31.13,31.58,2798300,31.58
2011-06-22,31.62,32.04,31.50,31.79,2629200,31.79
2011-06-21,31.83,32.06,31.60,31.76,2184200,31.76
2011-06-20,31.44,31.74,31.27,31.66,1599700,31.66
2011-06-17,31.57,31.80,31.46,31.56,2205500,31.56
2011-06-16,31.20,31.74,31.17,31.41,2496300,31.41
2011-06-15,31.64,31.87,31.07,31.14,3747600,31.14
2011-06-14,31.85,32.03,31.50,31.88,3288100,31.88
2011-06-13,31.60,32.40,31.59,31.60,3882700,31.60
2011-06-10,32.00,32.01,31.70,31.75,1807500,31.75
2011-06-09,31.96,32.19,31.74,32.04,2155400,32.04
2011-06-08,32.07,32.21,31.77,31.91,3201100,31.91
2011-06-07,32.27,32.49,31.95,31.99,2747800,31.99
2011-06-06,32.43,32.52,32.19,32.38,1755000,32.04
2011-06-03,32.53,32.73,32.32,32.48,1853500,32.14
2011-06-02,33.00,33.00,32.58,32.88,2542000,32.53
2011-06-01,33.34,33.52,32.90,32.90,2588200,32.55
2011-05-31,33.49,33.65,33.15,33.50,2072000,33.15
2011-05-27,33.41,33.50,33.16,33.34,1892700,32.99
2011-05-26,33.34,33.45,32.98,33.22,2403200,32.87
2011-05-25,33.44,33.65,33.06,33.44,2310100,33.09
2011-05-24,33.93,33.94,33.37,33.40,2652100,33.05
2011-05-23,33.99,34.12,33.76,33.81,2168500,33.45
2011-05-20,34.07,34.22,33.85,34.11,2359400,33.75
2011-05-19,33.96,34.20,33.90,34.18,2455300,33.82
2011-05-18,33.82,33.96,33.44,33.93,2389800,33.57
2011-05-17,33.49,33.91,33.43,33.82,2213600,33.46
2011-05-16,33.36,33.83,33.10,33.53,3536400,33.17
2011-05-13,33.81,33.94,33.28,33.45,3405700,33.10
2011-05-12,33.26,33.82,33.10,33.70,3700000,33.34
2011-05-11,32.94,33.29,32.76,33.25,3657900,32.90
2011-05-10,32.46,33.10,32.38,32.99,2724600,32.64
2011-05-09,32.38,32.55,32.14,32.34,2537500,32.00
2011-05-06,32.14,32.62,32.08,32.30,7308000,31.96
2011-05-05,32.27,32.46,31.73,32.05,3207500,31.71
2011-05-04,32.15,32.42,31.67,32.34,4362200,32.00
2011-05-03,32.19,32.80,31.94,32.22,4520500,31.88
2011-05-02,32.19,32.49,32.02,32.18,2526000,31.84
2011-04-29,32.12,32.20,31.81,32.17,2148500,31.83
2011-04-28,31.73,32.23,31.69,32.09,2797400,31.75
2011-04-27,31.30,31.88,31.22,31.80,3720000,31.46
2011-04-26,30.91,31.30,30.78,31.24,2395800,30.91
2011-04-25,30.87,31.00,30.75,30.81,1059100,30.48
2011-04-21,30.79,30.94,30.49,30.93,1680000,30.60
2011-04-20,30.77,30.95,30.62,30.76,3153900,30.43
2011-04-19,30.88,30.90,30.47,30.52,2867000,30.20
2011-04-18,31.02,31.07,30.72,30.90,2118300,30.57
2011-04-15,30.96,31.51,30.93,31.20,2880200,30.87
2011-04-14,30.79,31.05,30.66,30.87,2714200,30.54
2011-04-13,30.63,31.10,30.61,30.96,3624700,30.63
2011-04-12,30.48,30.70,30.30,30.58,3569100,30.26
2011-04-11,31.08,31.14,30.44,30.56,3957500,30.24
2011-04-08,31.53,31.55,31.00,31.22,1497200,30.89
2011-04-07,31.49,31.53,31.08,31.36,2359500,31.03
2011-04-06,30.91,31.56,30.85,31.56,4590200,31.23
2011-04-05,30.87,31.00,30.77,30.81,4063900,30.48
2011-04-04,31.45,31.50,30.73,30.89,5329700,30.56
2011-04-01,31.71,31.77,31.37,31.50,2431300,31.17
2011-03-31,31.74,31.88,31.49,31.51,2322100,31.18
2011-03-30,31.39,31.87,31.29,31.69,2004600,31.35
2011-03-29,30.96,31.38,30.76,31.31,1536500,30.98
2011-03-28,31.17,31.27,30.98,30.98,1376400,30.65
2011-03-25,31.25,31.49,31.06,31.09,2319100,30.76
2011-03-24,31.31,31.44,31.16,31.17,2497300,30.84
2011-03-23,30.92,31.23,30.77,31.15,1856200,30.82
2011-03-22,30.82,31.18,30.74,31.00,2085500,30.67
2011-03-21,30.62,30.99,30.54,30.76,2280300,30.43
2011-03-18,30.54,30.70,30.21,30.43,3378500,30.11
2011-03-17,30.70,30.75,30.16,30.47,3962000,30.15
2011-03-16,31.10,31.58,30.15,30.32,7318400,30.00
2011-03-15,30.90,31.18,30.61,31.10,4011300,30.77
2011-03-14,32.13,32.13,31.33,31.51,4001800,31.18
2011-03-11,32.10,32.46,31.88,32.38,2556200,32.04
2011-03-10,32.27,32.65,31.97,32.05,3110900,31.71
2011-03-09,31.68,32.54,31.68,32.51,3497700,32.17
2011-03-08,31.06,31.78,31.06,31.68,2024400,31.34
2011-03-07,31.65,32.07,31.45,31.47,2725800,30.80
2011-03-04,31.99,32.00,31.33,31.61,2506300,30.93
2011-03-03,32.15,32.30,31.95,31.95,2313700,31.27
2011-03-02,31.93,32.09,31.63,31.89,2324200,31.21
2011-03-01,32.59,32.73,31.89,31.91,4022800,31.23
2011-02-28,32.51,32.90,32.37,32.70,2862000,32.00
2011-02-25,32.27,32.44,32.05,32.42,2317800,31.73
2011-02-24,32.29,32.48,32.01,32.23,4264000,31.54
2011-02-23,32.28,32.46,31.92,32.30,4238600,31.61
2011-02-22,31.28,32.36,31.05,32.23,5709700,31.54
2011-02-18,32.12,32.12,31.71,31.74,3141000,31.06
2011-02-17,32.08,32.18,31.70,32.07,2275600,31.38
2011-02-16,32.42,32.61,31.88,32.12,2868300,31.43
2011-02-15,32.46,32.53,32.30,32.45,1709600,31.76
2011-02-14,32.83,32.92,32.41,32.58,1075100,31.88
2011-02-11,32.78,33.11,32.74,32.87,1130000,32.17
2011-02-10,33.00,33.06,32.74,32.89,1612800,32.19
2011-02-09,32.64,33.12,32.42,33.02,2549900,32.31
2011-02-08,32.59,32.75,32.38,32.74,1628200,32.04
2011-02-07,32.33,32.61,32.23,32.61,1554700,31.91
2011-02-04,32.67,32.67,32.21,32.22,3299300,31.53
2011-02-03,32.60,32.82,32.41,32.75,2384200,32.05
2011-02-02,32.94,32.94,32.27,32.59,3733800,31.89
2011-02-01,32.61,33.12,32.27,33.12,2877500,32.41
2011-01-31,32.46,32.60,32.29,32.43,2136000,31.74
2011-01-28,32.66,32.75,32.25,32.43,2277500,31.74
2011-01-27,32.60,32.78,32.49,32.63,1967400,31.93
2011-01-26,32.53,32.65,32.42,32.57,1968800,31.87
2011-01-25,32.67,32.85,32.46,32.50,2619000,31.81
2011-01-24,32.38,32.78,32.36,32.70,2246100,32.00
2011-01-21,32.49,32.49,32.21,32.46,3530500,31.77
2011-01-20,31.78,32.31,31.78,32.17,2067900,31.48
2011-01-19,31.31,31.80,31.31,31.77,2363700,31.09
2011-01-18,31.67,31.85,31.23,31.32,3337500,30.65
2011-01-14,31.49,31.66,31.41,31.62,1731000,30.94
2011-01-13,32.08,32.21,31.50,31.59,2870900,30.91
2011-01-12,31.93,32.43,31.93,32.16,2220400,31.47
2011-01-11,31.63,31.95,31.45,31.90,2630800,31.22
2011-01-10,31.50,31.65,31.11,31.60,3082000,30.92
2011-01-07,31.31,31.59,30.91,31.59,4845700,30.91
2011-01-06,31.37,31.42,31.09,31.25,3401600,30.58
2011-01-05,31.45,31.64,31.23,31.32,3161100,30.65
2011-01-04,31.80,31.87,31.29,31.58,3440500,30.90
2011-01-03,32.01,32.06,31.56,31.80,2671200,31.12
2010-12-31,31.42,31.91,31.38,31.81,2023100,31.13
2010-12-30,31.39,31.54,31.34,31.39,1117300,30.72
2010-12-29,31.58,31.62,31.31,31.36,951100,30.69
2010-12-28,31.54,31.58,31.26,31.54,925000,30.87
2010-12-27,31.32,31.48,31.25,31.43,1089200,30.76
2010-12-23,31.49,31.54,31.24,31.43,1738900,30.76
2010-12-22,31.33,31.61,31.21,31.60,1516600,30.92
2010-12-21,31.64,31.69,31.07,31.24,2662400,30.57
