Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,68.09,68.73,67.75,68.54,6550200,68.54
2011-07-18,68.61,68.61,67.38,68.00,6165000,68.00
2011-07-15,68.53,68.53,68.00,68.53,6760200,68.53
2011-07-14,68.74,69.08,68.44,68.60,4460000,68.60
2011-07-13,69.38,69.47,68.63,68.89,4955500,68.89
2011-07-12,69.20,69.54,68.86,69.01,5376300,69.01
2011-07-11,69.34,69.48,68.92,69.30,5248800,69.30
2011-07-08,70.01,70.39,69.46,69.93,6016400,69.93
2011-07-07,70.49,70.75,70.25,70.52,5695000,70.52
2011-07-06,69.80,70.21,69.75,70.17,5989600,70.17
2011-07-05,69.87,70.45,69.66,69.77,7317900,69.77
2011-07-01,70.08,70.36,69.61,70.19,6466900,70.19
2011-06-30,70.13,70.49,69.92,70.43,5280400,70.43
2011-06-29,69.77,70.26,69.75,69.96,5512200,69.96
2011-06-28,69.37,69.78,69.18,69.62,5162800,69.62
2011-06-27,68.53,69.33,68.53,69.05,7453200,69.05
2011-06-24,67.98,68.66,67.95,68.45,14860400,68.45
2011-06-23,68.27,68.54,67.46,67.98,8321100,67.98
2011-06-22,68.93,69.15,68.75,68.78,5429900,68.78
2011-06-21,69.28,69.34,68.80,68.93,5653900,68.93
2011-06-20,68.63,69.26,68.63,68.98,5061200,68.98
2011-06-17,69.30,69.49,68.56,68.72,7575900,68.72
2011-06-16,68.54,69.21,68.53,68.89,6250500,68.89
2011-06-15,69.16,69.57,68.24,68.48,7750700,68.48
2011-06-14,69.47,69.78,69.25,69.57,4832000,69.57
2011-06-13,69.06,69.32,68.62,69.06,4796400,69.06
2011-06-10,69.30,69.42,68.58,68.69,6987200,68.69
2011-06-09,68.97,69.95,68.75,69.51,6047000,69.51
2011-06-08,68.72,69.00,68.41,68.84,5477100,68.84
2011-06-07,69.20,69.30,68.84,68.93,7363600,68.93
2011-06-06,69.03,69.45,68.78,68.89,4933900,68.89
2011-06-03,68.97,69.35,68.71,68.97,5721400,68.97
2011-06-02,70.26,70.39,69.32,69.51,6139800,69.51
2011-06-01,70.58,70.87,70.28,70.29,7748200,70.29
2011-05-31,70.72,71.12,70.61,71.12,6547100,70.61
2011-05-27,70.61,71.03,70.28,70.40,4358200,69.89
2011-05-26,70.34,70.59,69.85,70.42,5896200,69.91
2011-05-25,70.45,70.87,70.24,70.45,5954400,69.94
2011-05-24,71.09,71.22,70.66,70.98,5267600,70.47
2011-05-23,70.92,71.34,70.78,71.04,5546300,70.53
2011-05-20,71.67,71.84,71.22,71.30,5916600,70.78
2011-05-19,71.34,71.89,71.17,71.78,5163600,71.26
2011-05-18,70.98,71.33,70.75,71.27,5556400,70.75
2011-05-17,70.44,71.46,70.32,71.11,6453900,70.60
2011-05-16,70.41,71.09,70.30,70.72,5928900,70.21
2011-05-13,70.70,71.27,70.22,70.56,7501700,70.05
2011-05-12,70.33,71.05,69.96,70.96,6333900,70.45
2011-05-11,69.85,70.78,69.80,70.20,6167300,69.69
2011-05-10,69.81,70.12,69.81,70.03,6118300,69.52
2011-05-09,69.64,69.98,69.48,69.82,5763100,69.31
2011-05-06,69.65,69.95,69.18,69.27,6792600,68.77
2011-05-05,69.40,69.69,68.46,68.83,7642700,68.33
2011-05-04,69.54,69.93,69.30,69.83,8129500,69.32
2011-05-03,68.88,69.59,68.88,69.59,6107500,69.09
2011-05-02,69.24,69.48,69.03,69.31,6235200,68.81
2011-04-29,69.62,69.94,68.65,68.89,8034200,68.39
2011-04-28,67.93,69.92,67.87,69.72,12755900,69.22
2011-04-27,67.73,68.25,67.66,67.93,5939200,67.44
2011-04-26,66.89,67.85,66.85,67.71,6600000,67.22
2011-04-25,67.15,67.27,66.84,67.03,4197500,66.54
2011-04-21,67.53,67.53,67.05,67.41,3876100,66.92
2011-04-20,67.26,67.49,66.98,67.33,4292200,66.84
2011-04-19,67.25,67.25,66.50,66.81,4973900,66.33
2011-04-18,66.73,67.33,66.44,67.15,5668400,66.66
2011-04-15,66.69,67.14,66.44,67.11,5398300,66.62
2011-04-14,66.34,66.87,66.12,66.70,4207700,66.22
2011-04-13,66.58,66.83,66.32,66.45,4203200,65.97
2011-04-12,65.78,66.71,65.56,66.57,7492900,66.09
2011-04-11,65.71,66.35,65.67,66.04,4385100,65.56
2011-04-08,65.76,66.00,65.35,65.73,4076700,65.25
2011-04-07,65.59,66.04,65.55,65.92,6105100,65.44
2011-04-06,65.51,65.88,65.51,65.75,3815300,65.27
2011-04-05,64.99,65.69,64.92,65.58,5762300,65.11
2011-04-04,64.93,65.12,64.86,65.09,4210300,64.62
2011-04-01,64.87,65.42,64.47,65.22,6350000,64.75
2011-03-31,65.09,65.23,64.35,64.41,7403500,63.94
2011-03-30,64.60,65.33,64.43,65.05,5794900,64.58
2011-03-29,64.41,64.61,64.03,64.16,5163800,63.70
2011-03-28,64.02,64.76,63.98,64.34,4971000,63.87
2011-03-25,64.19,64.47,63.95,63.98,5048600,63.52
2011-03-24,64.36,64.48,64.17,64.20,4146500,63.74
2011-03-23,63.95,64.36,63.75,64.20,3908000,63.74
2011-03-22,64.02,64.05,63.83,63.94,5038200,63.48
2011-03-21,63.85,64.30,63.50,64.10,6524500,63.64
2011-03-18,63.49,63.61,62.90,63.24,8427000,62.78
2011-03-17,62.91,63.26,62.56,63.08,6753400,62.62
2011-03-16,62.89,62.92,62.05,62.31,8406300,61.86
2011-03-15,63.44,63.64,62.70,63.01,8730100,62.55
2011-03-14,64.26,64.43,63.59,64.14,5896600,63.68
2011-03-11,64.61,64.89,64.33,64.65,6875600,64.18
2011-03-10,64.34,64.86,64.12,64.43,8663100,63.96
2011-03-09,63.70,64.83,63.56,64.65,7746100,64.18
2011-03-08,63.31,63.90,63.31,63.79,7520000,63.33
2011-03-07,63.43,63.59,63.20,63.47,7018900,63.01
2011-03-04,63.78,63.87,63.03,63.40,7662000,62.94
2011-03-03,63.19,63.98,63.00,63.75,8445800,63.29
2011-03-02,62.95,62.99,62.54,62.94,7061400,62.48
2011-03-01,63.69,63.95,63.19,63.21,8086400,62.28
2011-02-28,63.78,63.96,63.37,63.42,8022500,62.48
2011-02-25,62.99,63.89,62.89,63.60,6523300,62.66
2011-02-24,62.85,63.20,62.71,63.03,9120900,62.10
2011-02-23,63.20,63.77,62.90,62.93,9527000,62.00
2011-02-22,62.66,63.53,62.57,63.15,9637500,62.22
2011-02-18,64.51,64.51,63.20,63.41,14023700,62.47
2011-02-17,63.28,64.71,63.22,64.70,10851000,63.74
2011-02-16,64.09,64.48,63.84,63.96,8043300,63.01
2011-02-15,63.29,64.45,63.06,64.35,9487900,63.40
2011-02-14,63.96,64.33,63.17,63.34,9108700,62.40
2011-02-11,62.62,64.02,62.56,63.87,9016500,62.93
2011-02-10,63.48,64.19,62.94,63.36,15759300,62.42
2011-02-09,64.38,64.76,63.97,64.42,6132000,63.47
2011-02-08,63.62,64.27,63.51,64.17,6064800,63.22
2011-02-07,63.95,63.98,63.26,63.68,8157900,62.74
2011-02-04,64.15,64.28,63.66,63.84,8423900,62.90
2011-02-03,64.51,64.68,64.01,64.18,6693300,63.23
2011-02-02,64.44,64.86,64.04,64.65,8221000,63.69
2011-02-01,64.53,65.14,64.30,65.05,7138100,64.09
2011-01-31,64.35,64.68,64.09,64.31,8666100,63.36
2011-01-28,65.45,65.84,64.12,64.40,10455700,63.45
2011-01-27,65.73,65.95,65.45,65.56,6819700,64.59
2011-01-26,65.89,66.04,65.52,65.86,6797600,64.89
2011-01-25,66.01,66.25,65.75,65.77,4986100,64.80
2011-01-24,65.79,66.18,65.60,66.18,4713700,65.20
2011-01-21,66.19,66.32,65.67,65.87,5564400,64.90
2011-01-20,65.94,66.33,65.81,65.90,7131000,64.93
2011-01-19,66.67,66.69,65.69,65.90,7872400,64.93
2011-01-18,66.46,67.15,66.40,66.57,6066000,65.59
2011-01-14,67.15,67.16,66.57,66.78,5986100,65.79
2011-01-13,66.70,67.46,66.65,66.91,7943000,65.92
2011-01-12,66.71,67.07,66.55,66.73,5265100,65.74
2011-01-11,66.34,66.75,66.01,66.33,4686400,65.35
2011-01-10,66.13,66.32,65.84,66.05,5220500,65.07
2011-01-07,66.82,66.82,66.25,66.39,4899100,65.41
2011-01-06,66.71,66.95,66.38,66.84,7648900,65.85
2011-01-05,65.71,66.88,65.56,66.59,10381900,65.61
2011-01-04,66.10,66.19,65.12,65.41,7897100,64.44
2011-01-03,65.91,66.09,65.60,65.75,6787300,64.78
2010-12-31,65.05,65.55,65.03,65.33,2977400,64.36
2010-12-30,65.31,65.62,65.09,65.12,3507400,64.16
2010-12-29,65.44,65.77,65.33,65.33,3248600,64.36
2010-12-28,65.20,65.53,65.18,65.28,3071200,64.32
2010-12-27,65.64,65.71,65.41,65.42,2358500,64.45
2010-12-23,65.65,65.92,65.51,65.69,3297400,64.72
2010-12-22,65.46,65.72,65.21,65.68,3977600,64.71
2010-12-21,66.37,66.51,65.12,65.40,7830800,64.43
2010-12-20,65.82,66.35,65.75,66.31,5549500,65.33
2010-12-17,65.73,66.00,65.46,65.97,7334800,64.99
2010-12-16,65.24,65.79,65.19,65.75,4830000,64.78
2010-12-15,65.37,65.48,65.10,65.24,4526400,64.28
2010-12-14,65.64,65.87,65.33,65.59,5751600,64.62
2010-12-13,65.06,65.72,64.80,65.53,9261700,64.56
2010-12-10,64.84,65.00,64.59,64.90,5426900,63.94
2010-12-09,64.79,64.79,64.28,64.72,6173400,63.76
2010-12-08,64.80,64.88,64.47,64.63,5431600,63.67
2010-12-07,64.98,65.07,64.61,64.68,5630100,63.72
2010-12-06,65.16,65.17,64.68,64.73,4502700,63.77
