Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,61.68,62.18,61.49,61.49,10349700,61.49
2011-07-28,62.16,62.43,61.85,61.92,7535600,61.92
2011-07-27,63.03,63.12,62.15,62.20,11165200,62.20
2011-07-26,63.47,63.70,63.08,63.09,8715200,63.09
2011-07-25,63.96,63.98,63.22,63.31,8801200,63.31
2011-07-22,64.46,64.74,64.14,64.25,6047200,64.25
2011-07-21,64.35,64.85,64.24,64.49,8564400,64.49
2011-07-20,64.26,64.44,64.04,64.20,13089600,64.20
2011-07-19,64.60,64.79,64.32,64.61,8393800,64.09
2011-07-18,64.69,64.79,64.28,64.55,13343700,64.03
2011-07-15,64.68,64.85,64.33,64.83,20588800,64.30
2011-07-14,64.55,64.80,64.36,64.60,13269400,64.08
2011-07-13,64.84,65.02,64.49,64.64,9154200,64.11
2011-07-12,64.48,65.06,64.39,64.53,11583700,64.01
2011-07-11,64.29,64.74,64.26,64.72,9206700,64.19
2011-07-08,65.04,65.11,64.53,64.93,9227800,64.40
2011-07-07,64.98,65.14,64.72,64.95,8973600,64.42
2011-07-06,64.53,64.94,64.34,64.70,9334700,64.17
2011-07-05,64.10,64.50,63.95,64.26,9224100,63.74
2011-07-01,63.47,64.44,63.34,64.27,9700500,63.75
2011-06-30,62.73,63.65,62.58,63.57,11807400,63.05
2011-06-29,62.87,62.90,62.36,62.55,11386200,62.04
2011-06-28,63.11,63.34,62.53,62.72,8551500,62.21
2011-06-27,62.76,63.25,62.63,62.82,6705500,62.31
2011-06-24,63.45,63.50,62.44,62.59,15278300,62.08
2011-06-23,63.73,63.73,62.80,63.46,11693900,62.94
2011-06-22,64.08,64.43,63.87,64.06,9107100,63.54
2011-06-21,65.24,65.24,64.16,64.22,11024200,63.70
2011-06-20,64.51,65.29,64.51,65.09,5911700,64.56
2011-06-17,64.65,65.12,64.53,64.69,10057200,64.16
2011-06-16,63.87,64.33,63.50,64.26,8894300,63.74
2011-06-15,64.51,64.52,63.33,63.76,11790300,63.24
2011-06-14,65.03,65.22,64.66,64.76,7240100,64.23
2011-06-13,64.77,65.18,64.51,64.77,8873200,64.24
2011-06-10,64.92,65.05,64.65,64.70,10509000,64.17
2011-06-09,65.03,65.45,64.86,65.01,10219500,64.48
2011-06-08,65.04,65.05,64.69,64.85,11292100,64.32
2011-06-07,65.46,65.54,65.01,65.06,8892500,64.53
2011-06-06,65.36,65.64,65.21,65.50,7668800,64.97
2011-06-03,65.56,65.82,65.25,65.43,8579100,64.90
2011-06-02,66.46,66.50,65.66,66.01,8540400,65.47
2011-06-01,66.96,66.99,66.34,66.40,9579500,65.86
2011-05-31,66.33,67.00,66.33,67.00,10603900,66.46
2011-05-27,66.04,66.72,66.01,66.20,7973400,65.66
2011-05-26,66.19,66.30,65.76,66.19,8946700,65.65
2011-05-25,66.38,66.83,65.90,66.38,11639200,65.84
2011-05-24,66.98,67.25,66.80,67.01,7105200,66.47
2011-05-23,66.88,67.23,66.71,67.05,9406300,66.51
2011-05-20,67.42,67.60,67.18,67.36,9361500,66.81
2011-05-19,67.29,67.46,66.90,67.46,7425400,66.91
2011-05-18,67.40,67.50,66.97,67.38,8870300,66.83
2011-05-17,66.64,67.72,66.64,67.42,12185600,66.87
2011-05-16,66.66,67.30,66.51,66.94,9880600,66.40
2011-05-13,66.67,67.31,66.55,66.86,12601200,66.32
2011-05-12,66.03,66.99,65.82,66.84,11100000,66.30
2011-05-11,65.79,66.12,65.65,65.92,9176300,65.38
2011-05-10,65.29,65.89,65.25,65.73,8076200,65.20
2011-05-09,64.93,65.39,64.86,65.14,8698800,64.61
2011-05-06,66.21,66.34,65.04,65.27,11125800,64.74
2011-05-05,66.08,66.39,65.63,65.88,10812500,65.34
2011-05-04,65.70,66.50,65.58,66.47,14236900,65.93
2011-05-03,65.26,65.79,65.16,65.71,9924100,65.18
2011-05-02,65.24,65.45,65.00,65.18,8909000,64.65
2011-04-29,64.58,65.10,64.41,64.90,13357700,64.37
2011-04-28,63.24,64.59,62.93,64.50,13366000,63.98
2011-04-27,63.64,64.16,63.56,64.02,9896600,63.50
2011-04-26,63.45,64.00,63.28,63.83,9500000,62.79
2011-04-25,63.08,63.39,62.60,63.37,7369600,62.34
2011-04-21,63.61,63.75,63.00,63.27,10600800,62.24
2011-04-20,64.26,64.34,63.56,63.72,8844700,62.68
2011-04-19,64.22,64.32,63.56,63.86,9284200,62.82
2011-04-18,63.67,64.15,63.56,64.00,11323800,62.96
2011-04-15,63.46,64.21,63.09,64.18,12378300,63.13
2011-04-14,62.76,63.49,62.76,63.30,10027100,62.27
2011-04-13,62.84,63.07,62.72,62.99,10414900,61.96
2011-04-12,62.03,62.99,62.00,62.89,11415700,61.87
2011-04-11,62.02,62.50,61.90,62.19,7649500,61.18
2011-04-08,62.20,62.23,61.63,61.90,7271400,60.89
2011-04-07,61.62,62.15,61.47,62.13,7692800,61.12
2011-04-06,61.88,61.94,61.54,61.76,8249600,60.75
2011-04-05,62.02,62.26,61.60,61.67,9105800,60.67
2011-04-04,62.17,62.33,61.93,62.26,6438000,61.25
2011-04-01,61.88,62.30,61.74,62.08,8243700,61.07
2011-03-31,61.76,62.00,61.59,61.60,11569500,60.60
2011-03-30,61.46,61.97,61.38,61.97,7552100,60.96
2011-03-29,60.61,61.42,60.61,61.28,7684300,60.28
2011-03-28,61.08,61.34,60.61,60.66,8381500,59.67
2011-03-25,61.18,61.38,60.71,60.88,7757900,59.89
2011-03-24,61.23,61.28,60.75,61.14,8197900,60.14
2011-03-23,60.84,61.09,60.54,60.91,7998200,59.92
2011-03-22,61.05,61.42,60.88,60.93,7772900,59.94
2011-03-21,60.96,61.52,60.80,61.30,9602500,60.30
2011-03-18,60.92,61.07,60.12,60.60,17016800,59.61
2011-03-17,60.70,60.70,60.00,60.43,10646900,59.45
2011-03-16,60.48,60.51,59.70,59.73,16378600,58.76
2011-03-15,60.62,60.86,60.31,60.66,13092400,59.67
2011-03-14,61.04,61.39,60.79,61.35,9135600,60.35
2011-03-11,61.20,61.70,61.12,61.49,9586700,60.49
2011-03-10,61.72,61.92,61.21,61.49,12106800,60.49
2011-03-09,62.09,62.30,61.75,62.00,8781500,60.99
2011-03-08,61.75,62.25,61.73,62.05,10944000,61.04
2011-03-07,62.00,62.13,61.47,61.71,11300700,60.71
2011-03-04,62.51,62.73,61.56,62.03,11875900,61.02
2011-03-03,62.70,62.95,62.11,62.55,14193800,61.53
2011-03-02,62.60,62.84,62.32,62.41,10020700,61.39
2011-03-01,63.43,63.65,62.65,62.74,12134200,61.72
2011-02-28,62.80,63.24,62.62,63.05,11558200,62.02
2011-02-25,62.96,63.11,62.53,62.84,11370400,61.82
2011-02-24,64.32,64.39,62.83,63.05,15218000,62.02
2011-02-23,64.01,64.40,63.90,64.15,11711100,63.11
2011-02-22,63.73,64.37,63.62,64.07,9437500,63.03
2011-02-18,64.14,64.38,63.93,64.30,9093700,63.25
2011-02-17,63.58,64.21,63.45,64.00,7364600,62.96
2011-02-16,64.10,64.11,63.70,63.76,9851200,62.72
2011-02-15,64.70,64.70,63.67,63.92,11785000,62.88
2011-02-14,64.81,64.87,64.35,64.54,7093800,63.49
2011-02-11,64.08,64.97,64.08,64.73,8951600,63.68
2011-02-10,64.63,64.79,64.08,64.58,10977000,63.53
2011-02-09,64.64,64.88,64.08,64.39,11019900,63.34
2011-02-08,64.39,64.75,64.30,64.64,8193700,63.59
2011-02-07,63.95,64.80,63.80,64.55,12847100,63.50
2011-02-04,62.83,63.71,62.77,63.61,9827300,62.57
2011-02-03,62.66,63.13,62.65,62.90,8546700,61.88
2011-02-02,62.76,62.95,62.30,62.79,11626100,61.77
2011-02-01,63.43,63.61,62.72,62.92,14623900,61.90
2011-01-31,64.35,64.36,63.01,63.13,12568400,62.10
2011-01-28,63.90,64.34,63.84,64.20,14927400,63.15
2011-01-27,64.36,64.50,63.14,64.18,23967100,63.13
2011-01-26,66.89,66.92,66.07,66.11,9499500,65.03
2011-01-25,66.57,66.95,66.47,66.70,11064100,65.61
2011-01-24,65.90,66.70,65.79,66.58,10568200,65.50
2011-01-21,65.90,65.95,65.52,65.91,9554100,64.84
2011-01-20,65.44,65.90,65.35,65.80,12492800,64.73
2011-01-19,65.11,65.67,65.05,65.35,11763500,64.29
2011-01-18,65.65,65.94,65.44,65.50,12395900,63.96
2011-01-14,65.35,65.66,65.27,65.53,10947000,63.99
2011-01-13,64.92,65.50,64.91,65.48,9899100,63.94
2011-01-12,64.41,65.00,63.40,64.97,10150600,63.44
2011-01-11,64.50,64.60,63.74,64.04,9624200,62.53
2011-01-10,64.40,64.53,64.15,64.36,12253700,62.85
2011-01-07,64.63,64.87,64.17,64.50,11940000,62.98
2011-01-06,64.69,64.78,64.31,64.69,11585100,63.17
2011-01-05,64.67,65.09,64.64,64.80,7459600,63.28
2011-01-04,64.41,64.96,64.35,64.95,11333200,63.42
2011-01-03,64.39,64.89,64.00,64.77,10004000,63.25
2010-12-31,64.08,64.45,64.01,64.33,5245600,62.82
2010-12-30,64.48,64.49,64.06,64.28,3819900,62.77
2010-12-29,64.72,64.80,64.35,64.40,4916400,62.89
2010-12-28,64.80,64.83,64.40,64.76,4648400,63.24
2010-12-27,65.04,65.11,64.37,64.67,7195800,63.15
2010-12-23,64.76,65.29,64.76,65.24,5950800,63.71
2010-12-22,64.28,64.97,64.27,64.95,7083400,63.42
2010-12-21,65.22,65.38,64.64,64.87,8193900,63.34
2010-12-20,64.86,65.31,64.67,64.97,10616100,63.44
2010-12-17,64.54,65.04,64.29,64.81,23534700,63.29
2010-12-16,63.86,64.75,63.15,64.50,14337400,62.98
2010-12-15,63.61,63.91,63.56,63.64,11074500,62.14
2010-12-14,63.33,63.70,63.20,63.55,8626100,62.06
2010-12-13,63.31,63.52,63.15,63.19,8783600,61.70
2010-12-10,63.30,63.79,63.06,63.20,11510100,61.71
2010-12-09,62.66,62.97,62.53,62.87,8541200,61.39
2010-12-08,62.28,62.68,62.28,62.63,8344500,61.16
2010-12-07,62.19,62.63,62.01,62.15,9882400,60.69
2010-12-06,62.25,62.33,62.05,62.06,5849500,60.60
2010-12-03,62.45,62.50,61.97,62.33,8971900,60.86
2010-12-02,62.15,62.49,61.96,62.36,7866500,60.89
2010-12-01,61.57,62.34,61.50,62.15,11598600,60.69
2010-11-30,61.51,61.66,61.02,61.07,17675200,59.63
2010-11-29,62.05,62.24,61.67,62.13,8433700,60.67
2010-11-26,62.28,62.50,62.03,62.13,3916500,60.67
2010-11-24,62.96,62.97,62.40,62.60,8766300,61.13
2010-11-23,63.07,63.13,62.32,62.61,10488100,61.14
2010-11-22,63.58,63.79,63.03,63.56,9139700,62.06
2010-11-19,64.23,64.24,63.61,64.05,9495800,62.54
2010-11-18,63.59,64.27,63.51,64.02,11296700,62.51
2010-11-17,63.39,63.50,63.14,63.27,7938500,61.78
2010-11-16,64.36,64.37,63.10,63.45,14384500,61.96
2010-11-15,64.55,64.91,64.14,64.29,10861200,62.78
2010-11-12,64.26,64.52,64.02,64.33,9280400,62.82
2010-11-11,64.32,64.58,64.06,64.36,7003900,62.85
2010-11-10,64.67,64.80,64.36,64.57,8151400,63.05
2010-11-09,64.78,64.94,64.61,64.81,8461200,63.29
2010-11-08,64.87,64.92,64.57,64.75,7203100,63.23
2010-11-05,64.91,65.00,64.62,65.00,9747000,63.47
2010-11-04,64.53,65.00,64.39,65.00,11807500,63.47
2010-11-03,64.00,64.36,63.83,64.31,8621300,62.80
2010-11-02,63.87,64.28,63.85,64.02,8129000,62.51
2010-11-01,63.88,64.14,63.40,63.62,11926700,62.12
2010-10-29,63.23,63.85,63.19,63.57,11368300,62.07
2010-10-28,63.13,63.56,63.06,63.19,9231200,61.70
2010-10-27,63.33,63.35,62.73,63.08,13348100,61.60
2010-10-26,63.12,63.44,62.52,62.86,12935900,61.38
2010-10-25,63.73,63.81,63.48,63.54,8928400,62.05
2010-10-22,63.53,63.70,63.13,63.40,5933400,61.91
