Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,42.32,42.75,41.86,42.35,1149600,42.35
2011-07-28,42.89,42.89,42.48,42.52,836400,42.52
2011-07-27,43.64,43.68,43.24,43.24,955100,42.72
2011-07-26,44.09,44.10,43.64,43.73,557200,43.20
2011-07-25,44.17,44.36,44.00,44.07,627200,43.53
2011-07-22,44.61,44.64,44.30,44.39,272600,43.85
2011-07-21,44.28,44.78,44.24,44.64,487000,44.10
2011-07-20,43.91,44.21,43.82,44.04,649600,43.51
2011-07-19,43.51,43.93,43.12,43.93,711800,43.40
2011-07-18,43.70,43.78,43.16,43.33,1489700,42.80
2011-07-15,43.94,44.03,43.57,43.90,2217900,43.37
2011-07-14,44.37,44.56,43.83,43.89,2219900,43.36
2011-07-13,44.70,44.83,44.37,44.38,477200,43.84
2011-07-12,44.23,44.74,44.18,44.58,579900,44.04
2011-07-11,44.35,44.46,44.09,44.23,415500,43.69
2011-07-08,44.66,44.87,44.55,44.78,556900,44.24
2011-07-07,45.14,45.14,44.71,44.96,404500,44.41
2011-07-06,44.91,45.11,44.72,44.85,660900,44.31
2011-07-05,44.95,45.11,44.82,44.91,535100,44.36
2011-07-01,44.58,45.15,44.47,45.10,534500,44.55
2011-06-30,44.61,44.61,44.33,44.58,687700,44.04
2011-06-29,44.55,44.55,44.35,44.44,506600,43.90
2011-06-28,44.26,44.60,43.98,44.36,466100,43.82
2011-06-27,43.81,44.20,43.74,44.15,442600,43.61
2011-06-24,43.81,44.16,43.69,43.72,618100,43.19
2011-06-23,43.64,43.83,43.36,43.73,404400,43.20
2011-06-22,44.20,44.46,43.87,44.06,560500,43.53
2011-06-21,44.70,44.74,44.14,44.29,1455500,43.75
2011-06-20,43.86,44.17,43.59,44.17,483900,43.63
2011-06-17,43.77,44.14,43.72,43.85,765000,43.32
2011-06-16,43.19,43.70,43.16,43.55,639000,43.02
2011-06-15,43.26,43.68,43.07,43.13,608300,42.61
2011-06-14,43.53,43.79,43.18,43.55,707400,43.02
2011-06-13,43.13,43.31,42.54,43.13,843800,42.61
2011-06-10,43.29,43.34,43.04,43.14,457500,42.62
2011-06-09,43.57,43.67,43.31,43.35,525400,42.82
2011-06-08,43.58,43.72,43.37,43.58,522000,43.05
2011-06-07,43.62,43.91,43.43,43.57,445100,43.04
2011-06-06,43.56,43.63,43.24,43.43,662700,42.90
2011-06-03,43.81,44.09,43.41,43.67,921500,43.14
2011-06-02,44.61,44.61,44.01,44.29,801200,43.75
2011-06-01,45.22,45.22,44.44,44.48,953100,43.94
2011-05-31,45.27,45.27,44.99,45.26,1116900,44.71
2011-05-27,45.14,45.35,44.92,44.99,449500,44.44
2011-05-26,44.82,45.06,44.47,45.01,483800,44.46
2011-05-25,44.61,44.97,44.25,44.85,712300,44.31
2011-05-24,45.08,45.08,44.74,44.75,567000,44.21
2011-05-23,45.02,45.27,44.83,44.88,655100,44.34
2011-05-20,45.33,45.64,45.19,45.38,626800,44.83
2011-05-19,45.42,45.47,45.09,45.46,702200,44.91
2011-05-18,45.57,45.57,45.04,45.28,808400,44.73
2011-05-17,45.16,45.56,45.08,45.49,851600,44.94
2011-05-16,44.99,45.43,44.99,45.24,701000,44.69
2011-05-13,45.57,45.62,44.79,45.21,856100,44.66
2011-05-12,45.04,45.64,44.90,45.55,1257000,45.00
2011-05-11,45.02,45.15,44.81,45.08,1153400,44.53
2011-05-10,44.47,45.13,44.39,45.05,500900,44.50
2011-05-09,44.10,44.37,43.79,44.34,442800,43.80
2011-05-06,44.17,44.48,44.02,44.15,569900,43.61
2011-05-05,43.99,44.23,43.70,43.84,694800,43.31
2011-05-04,44.10,44.24,43.83,44.11,928700,43.57
2011-05-03,43.64,44.22,43.64,44.11,1607700,43.57
2011-05-02,43.63,43.88,43.54,43.85,839100,43.32
2011-04-29,43.07,43.47,42.68,43.39,936000,42.86
2011-04-28,42.76,43.01,42.60,42.94,1225600,42.42
2011-04-27,43.19,43.30,43.12,43.18,763700,42.14
2011-04-26,42.80,43.08,42.80,43.01,705800,41.97
2011-04-25,42.69,42.96,42.61,42.72,556900,41.69
2011-04-21,42.83,42.92,42.50,42.66,683300,41.63
