Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,101.85,102.61,100.56,100.57,2573900,100.57
2011-08-01,103.98,104.46,101.50,102.51,1330300,102.51
2011-07-29,101.26,104.44,100.85,103.64,2715500,103.64
2011-07-28,101.74,102.50,101.62,102.17,2073300,102.17
2011-07-27,103.23,103.96,101.62,101.69,2006300,101.69
2011-07-26,104.85,104.99,103.70,103.92,1258400,103.92
2011-07-25,104.39,105.91,104.10,105.10,1262300,105.10
2011-07-22,107.14,107.21,104.79,105.11,2152000,105.11
2011-07-21,106.92,107.29,106.32,107.19,1768200,107.19
2011-07-20,106.85,107.01,106.01,106.25,1127800,106.25
2011-07-19,106.47,108.00,106.36,106.73,1589200,106.73
2011-07-18,106.97,107.00,105.43,105.86,922000,105.86
2011-07-15,106.78,107.26,105.91,107.03,1101600,107.03
2011-07-14,107.30,107.78,105.72,106.33,1444600,106.33
2011-07-13,107.97,108.22,107.05,107.30,1387400,107.30
2011-07-12,107.87,109.11,107.56,107.72,1052800,107.72
2011-07-11,109.27,109.84,108.00,108.36,1088800,108.36
2011-07-08,110.11,110.89,109.56,110.47,1604700,110.47
2011-07-07,110.00,111.74,109.95,111.30,1615200,111.30
2011-07-06,108.34,109.65,107.81,109.44,1529400,109.44
2011-07-05,109.02,109.46,108.25,108.41,1627600,108.41
2011-07-01,108.26,109.16,107.19,109.01,1888500,109.01
2011-06-30,107.90,108.51,107.11,108.39,1763200,108.39
2011-06-29,106.50,108.00,105.81,107.98,3502200,107.98
2011-06-28,104.19,106.15,103.79,106.10,1457900,106.10
2011-06-27,103.57,104.05,102.19,103.83,839100,103.83
2011-06-24,103.50,103.72,102.51,103.29,1061500,103.29
2011-06-23,102.48,103.61,101.44,103.51,1324100,103.51
2011-06-22,103.21,104.41,102.89,103.83,1366400,103.83
2011-06-21,102.65,104.08,102.22,103.81,999500,103.81
2011-06-20,100.60,102.64,100.60,102.12,920200,102.12
2011-06-17,101.88,102.36,100.61,101.06,1531500,101.06
2011-06-16,100.60,101.26,99.76,101.08,1878400,101.08
2011-06-15,101.13,101.89,99.89,100.47,1387700,100.47
2011-06-14,101.64,102.48,101.26,102.13,1280900,102.13
2011-06-13,100.46,101.73,100.03,100.46,1236000,100.46
2011-06-10,101.22,101.60,99.90,100.02,1483700,100.02
2011-06-09,100.45,102.33,100.22,101.65,1060100,101.65
2011-06-08,99.75,100.33,99.55,100.00,1415800,100.00
2011-06-07,100.47,101.06,100.05,100.09,1413800,100.09
2011-06-06,100.58,101.29,100.04,100.18,1803000,100.18
2011-06-03,101.44,101.78,100.71,100.86,1715400,100.86
2011-06-02,103.26,104.03,102.22,103.15,1528600,102.65
2011-06-01,105.46,105.97,103.11,103.39,2110000,102.89
