Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,41.21,41.94,41.06,41.87,1233800,41.87
2011-07-18,41.31,41.36,40.32,40.91,1278400,40.91
2011-07-15,40.51,41.77,40.51,41.53,2489500,41.53
2011-07-14,40.76,41.11,39.93,39.95,1541200,39.95
2011-07-13,40.47,41.03,40.17,40.29,735300,40.29
2011-07-12,40.35,40.94,39.97,40.23,1144500,40.23
2011-07-11,41.29,41.35,40.33,40.48,614400,40.48
2011-07-08,41.90,42.46,41.82,41.94,1108400,41.94
2011-07-07,42.19,42.70,42.03,42.50,1393100,42.50
2011-07-06,42.37,42.37,41.55,41.71,998900,41.71
2011-07-05,42.65,42.95,41.94,42.20,976900,42.20
2011-07-01,41.99,42.75,41.78,42.67,818600,42.67
2011-06-30,41.99,42.26,41.70,41.83,823800,41.83
2011-06-29,41.71,42.33,41.35,41.76,1120200,41.76
2011-06-28,41.06,41.74,40.93,41.65,1127300,41.65
2011-06-27,40.29,41.07,40.05,40.82,1136500,40.82
2011-06-24,40.02,40.68,39.85,40.52,2583500,40.52
2011-06-23,38.56,39.99,38.47,39.93,1514000,39.93
2011-06-22,39.44,40.28,39.22,39.59,1742700,39.59
2011-06-21,39.15,39.79,39.00,39.60,637300,39.60
2011-06-20,38.43,38.81,37.91,38.80,1386500,38.80
2011-06-17,39.35,39.44,38.30,38.60,1631400,38.60
2011-06-16,39.20,39.68,38.67,38.91,1059900,38.91
2011-06-15,39.59,39.98,38.90,39.20,1164400,39.20
2011-06-14,39.79,40.61,39.75,40.06,868600,40.06
2011-06-13,39.93,40.41,39.00,39.36,1454000,39.36
2011-06-10,40.45,40.83,39.66,39.88,1246100,39.88
2011-06-09,40.10,40.40,39.89,39.96,1088200,39.96
2011-06-08,40.03,40.64,39.72,39.95,1647700,39.95
2011-06-07,40.74,40.84,39.92,39.97,1074500,39.97
2011-06-06,41.94,42.21,40.30,40.33,1186400,40.33
2011-06-03,41.49,42.52,41.00,42.06,999300,42.06
2011-06-02,42.06,42.43,41.48,42.02,989000,42.02
2011-06-01,43.49,43.70,41.95,42.10,1097000,42.10
2011-05-31,42.90,43.54,42.64,43.50,1561400,43.50
2011-05-27,42.83,43.17,41.92,42.52,937500,42.52
2011-05-26,42.10,42.58,41.70,42.53,894600,42.53
2011-05-25,41.32,42.50,40.85,42.15,886900,42.15
2011-05-24,41.67,42.94,41.47,41.50,818800,41.48
2011-05-23,40.96,41.80,40.74,41.50,1102100,41.48
2011-05-20,41.30,42.25,40.61,41.90,766600,41.88
2011-05-19,41.25,41.41,40.51,41.30,687800,41.28
2011-05-18,41.05,41.63,40.85,41.04,789500,41.02
2011-05-17,40.52,41.37,40.48,40.99,1138300,40.97
2011-05-16,40.30,41.37,40.22,40.81,1541900,40.79
2011-05-13,40.07,40.89,39.86,40.40,839300,40.38
2011-05-12,40.21,40.26,38.94,39.97,1936400,39.95
2011-05-11,41.74,41.74,39.92,40.32,1138500,40.30
2011-05-10,41.95,42.34,41.57,41.91,640000,41.89
2011-05-09,41.28,42.17,41.28,41.92,765000,41.90
2011-05-06,40.91,42.11,40.74,41.19,1552400,41.17
2011-05-05,40.35,41.16,39.92,40.39,1479400,40.37
2011-05-04,40.99,41.17,40.14,40.85,1356500,40.83
2011-05-03,42.14,42.14,40.56,41.00,1534800,40.98
2011-05-02,42.99,43.19,42.03,42.32,1667100,42.30
2011-04-29,41.46,42.86,40.98,42.73,1675400,42.71
2011-04-28,40.75,41.54,40.30,41.48,996200,41.46
2011-04-27,39.62,41.38,39.53,40.97,1860200,40.95
2011-04-26,40.64,40.82,38.99,39.57,1900000,39.55
2011-04-25,40.53,41.13,40.02,40.17,1386100,40.15
2011-04-21,39.57,40.54,39.54,40.48,1194400,40.46
2011-04-20,38.70,39.53,38.38,39.52,1352200,39.50
2011-04-19,38.01,38.57,37.89,37.93,1050400,37.91
2011-04-18,37.83,38.20,37.35,38.01,1245300,37.99
2011-04-15,38.00,38.63,37.71,38.32,989900,38.30
2011-04-14,37.77,38.04,37.11,37.85,1330900,37.83
2011-04-13,38.32,38.72,37.76,38.05,1296900,38.03
2011-04-12,39.03,39.63,37.29,38.03,2020900,38.01
2011-04-11,39.93,40.04,39.12,39.18,1032600,39.16
2011-04-08,40.34,40.62,39.66,39.93,1369300,39.91
2011-04-07,39.94,40.27,39.45,40.13,2551400,40.11
2011-04-06,41.34,41.57,39.98,40.04,1195500,40.02
2011-04-05,41.89,42.22,41.08,41.13,932100,41.11
2011-04-04,41.22,42.33,41.21,41.85,1310500,41.83
2011-04-01,41.15,41.64,40.68,41.04,1647400,41.02
2011-03-31,40.12,40.73,40.00,40.54,1948300,40.52
2011-03-30,40.45,41.20,40.00,40.11,1552400,40.09
2011-03-29,40.11,40.26,39.43,40.18,1471400,40.16
2011-03-28,41.40,41.73,40.00,40.03,1188600,40.01
2011-03-25,41.41,42.00,41.18,41.26,1609000,41.24
2011-03-24,40.70,41.58,40.43,41.27,1031800,41.25
2011-03-23,40.36,40.76,40.01,40.35,677500,40.33
2011-03-22,40.73,41.00,40.28,40.39,1067300,40.37
2011-03-21,39.65,41.28,39.55,40.68,1507300,40.66
2011-03-18,39.30,39.39,38.45,39.15,2577600,39.13
2011-03-17,38.40,39.05,38.05,38.91,931000,38.89
2011-03-16,37.48,37.92,36.79,37.45,1688500,37.43
2011-03-15,37.37,37.70,36.70,37.40,1804000,37.38
2011-03-14,37.46,38.73,37.13,38.57,1323600,38.55
2011-03-11,36.87,38.08,36.61,37.80,679800,37.78
2011-03-10,37.15,37.84,36.11,37.30,1192800,37.28
2011-03-09,37.70,38.63,37.36,37.78,1094900,37.76
2011-03-08,38.10,38.65,37.83,38.01,834000,37.97
2011-03-07,38.60,38.93,37.61,38.07,495800,38.03
2011-03-04,38.57,38.65,37.94,38.40,927300,38.36
2011-03-03,38.97,39.05,38.21,38.59,792200,38.55
2011-03-02,38.47,38.95,37.90,38.42,1261100,38.38
2011-03-01,39.80,39.80,38.37,38.51,883000,38.47
2011-02-28,39.21,39.86,39.16,39.55,1639400,39.51
2011-02-25,38.07,39.14,37.76,39.07,1277900,39.03
2011-02-24,37.67,38.89,36.91,37.94,2248600,37.90
2011-02-23,38.88,39.20,37.66,38.82,1580300,38.78
2011-02-22,39.15,40.00,38.53,38.89,2068900,38.85
2011-02-18,39.31,39.31,38.47,39.09,1245500,39.05
2011-02-17,39.44,40.26,38.95,39.30,1178200,39.26
2011-02-16,38.97,39.59,38.22,39.35,1267400,39.31
