Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,133.85,134.87,126.28,126.60,1862100,126.60
2011-08-01,136.92,136.92,133.00,135.45,910400,135.45
2011-07-29,134.18,135.93,133.50,135.07,851800,135.07
2011-07-28,133.61,137.73,133.46,135.58,988100,135.58
2011-07-27,137.24,137.31,132.62,133.03,692700,133.03
2011-07-26,138.08,138.50,136.15,137.40,594900,137.40
2011-07-25,137.89,139.60,137.40,138.53,383200,138.53
2011-07-22,140.00,140.22,138.77,139.39,289000,139.39
2011-07-21,139.41,141.37,138.97,140.09,1041100,140.09
2011-07-20,137.72,138.71,136.71,138.20,924500,138.20
2011-07-19,135.97,138.00,135.34,137.92,580500,137.92
2011-07-18,134.73,136.16,133.81,134.54,878500,134.54
2011-07-15,135.54,135.54,133.52,134.77,624600,134.77
2011-07-14,134.74,135.51,133.30,135.02,699300,135.02
2011-07-13,134.93,135.87,133.90,134.50,845700,134.50
2011-07-12,133.83,135.11,133.54,134.04,809800,134.04
2011-07-11,135.37,137.20,133.24,134.30,895400,134.30
2011-07-08,137.06,138.50,136.38,137.61,677400,137.61
2011-07-07,137.67,140.29,137.58,139.19,849600,139.19
2011-07-06,135.18,137.08,134.77,135.93,532300,135.93
2011-07-05,134.50,136.13,133.00,135.54,618500,135.54
2011-07-01,132.10,134.57,131.50,134.30,713000,134.30
2011-06-30,131.12,133.59,131.03,132.61,887000,132.61
2011-06-29,129.78,132.54,128.49,131.03,1004600,131.03
2011-06-28,126.62,130.03,126.62,129.90,949500,129.70
2011-06-27,126.12,127.25,125.50,126.21,1109000,126.02
2011-06-24,127.75,128.51,125.13,125.58,951400,125.39
2011-06-23,125.76,128.18,123.81,127.95,1800000,127.75
2011-06-22,127.78,129.46,126.82,127.19,868600,126.99
2011-06-21,127.35,128.10,126.41,127.83,752700,127.63
2011-06-20,123.19,127.12,122.92,126.16,828300,125.97
2011-06-17,124.00,124.65,122.75,124.04,1397700,123.85
2011-06-16,120.57,122.40,119.35,122.26,1336900,122.07
2011-06-15,120.99,121.75,120.13,120.57,1357500,120.38
2011-06-14,121.65,122.77,121.06,122.48,917700,122.29
2011-06-13,120.46,122.92,119.68,120.46,1097600,120.27
2011-06-10,121.00,121.51,119.32,119.63,997500,119.45
2011-06-09,119.92,122.81,119.92,121.83,1075800,121.64
2011-06-08,121.10,121.88,118.73,119.49,1491800,119.31
2011-06-07,122.24,123.45,121.95,122.07,1628700,121.88
2011-06-06,122.30,123.30,120.39,121.35,1699300,121.16
2011-06-03,119.25,124.59,119.25,122.74,1632500,122.55
2011-06-02,122.50,123.50,120.74,120.84,1899000,120.65
2011-06-01,126.12,127.35,121.38,121.45,3344200,121.26
2011-05-31,126.11,127.86,125.43,126.77,3963800,126.57
2011-05-27,118.42,126.60,118.42,126.43,4497900,126.24
2011-05-26,116.21,118.55,114.91,118.32,3573900,118.14
2011-05-25,114.70,122.20,114.60,114.70,8424000,114.52
2011-05-24,128.98,133.42,127.81,129.39,1698300,129.19
2011-05-23,129.25,130.18,127.75,128.62,1008700,128.42
2011-05-20,134.77,135.55,128.89,130.21,1658100,130.01
2011-05-19,134.72,136.50,134.05,136.10,660500,135.89
2011-05-18,131.49,134.02,131.49,134.01,434400,133.80
2011-05-17,131.29,132.38,129.53,131.36,575400,131.16
2011-05-16,132.97,134.15,131.98,132.25,419900,132.05
2011-05-13,134.87,135.74,133.19,133.31,488400,133.10
2011-05-12,131.93,134.66,130.98,134.58,627000,134.37
2011-05-11,132.78,133.73,130.42,131.87,418200,131.67
2011-05-10,130.32,133.23,130.03,132.69,718200,132.49
2011-05-09,129.59,130.45,128.89,129.56,326000,129.36
2011-05-06,130.44,131.45,128.35,129.61,631100,129.41
2011-05-05,127.28,130.46,126.80,130.02,709800,129.82
2011-05-04,127.70,129.10,126.99,128.27,582000,128.07
2011-05-03,129.24,129.92,126.87,127.76,439400,127.56
2011-05-02,131.52,132.40,128.70,129.29,515300,129.09
2011-04-29,131.64,131.84,130.07,130.77,650000,130.57
2011-04-28,132.21,132.43,131.14,131.56,493500,131.36
2011-04-27,131.68,132.62,130.84,132.31,374400,132.11
2011-04-26,132.48,132.73,130.66,130.99,560000,130.79
2011-04-25,132.76,134.14,131.74,132.24,297400,132.04
2011-04-21,132.00,133.47,131.01,133.00,420900,132.80
2011-04-20,130.20,133.03,129.82,131.77,642400,131.57
2011-04-19,127.88,130.50,127.88,128.49,708000,128.29
2011-04-18,127.46,127.94,125.51,127.38,662400,127.18
2011-04-15,128.67,129.94,127.79,129.00,553200,128.80
2011-04-14,127.46,128.75,126.61,128.00,475500,127.80
2011-04-13,125.17,128.88,125.00,128.39,713800,128.19
2011-04-12,123.44,124.93,123.19,124.31,334300,124.12
2011-04-11,123.80,125.25,123.07,124.48,400800,124.29
2011-04-08,126.32,126.74,122.49,123.60,582500,123.41
2011-04-07,125.38,127.32,124.50,126.08,534000,125.89
2011-04-06,128.82,129.39,125.07,125.49,622000,125.30
2011-04-05,127.47,130.19,127.13,128.59,599200,128.39
2011-04-04,126.89,128.82,125.93,128.00,723900,127.80
2011-04-01,124.52,127.89,124.22,126.63,838300,126.44
2011-03-31,124.36,124.63,122.98,123.65,502300,123.46
2011-03-30,123.75,125.28,123.33,124.85,589100,124.66
2011-03-29,119.61,123.57,119.43,123.52,586400,123.13
2011-03-28,120.69,122.28,119.34,119.43,678200,119.05
2011-03-25,120.09,122.13,119.77,120.51,683800,120.13
2011-03-24,120.66,120.66,118.65,119.64,535400,119.26
2011-03-23,118.06,119.91,117.13,119.48,431200,119.10
2011-03-22,119.93,120.61,118.27,118.49,743300,118.12
2011-03-21,119.43,120.67,117.36,119.75,1013200,119.37
2011-03-18,122.21,122.21,116.65,117.29,2343200,116.92
2011-03-17,123.00,123.13,121.29,121.69,1099200,121.31
2011-03-16,122.93,123.55,120.14,121.18,1276800,120.80
2011-03-15,119.85,123.88,119.09,123.19,1673600,122.80
2011-03-14,126.41,126.60,122.66,123.72,1021600,123.33
2011-03-11,123.96,127.97,123.55,127.23,776200,126.83
2011-03-10,125.15,127.21,124.26,125.51,709000,125.11
2011-03-09,126.02,127.50,125.10,126.78,546500,126.38
2011-03-08,124.87,126.94,123.81,126.60,747000,126.20
2011-03-07,126.06,126.44,123.39,124.62,469800,124.23
2011-03-04,126.45,126.60,124.21,125.29,637500,124.89
2011-03-03,125.83,127.04,125.41,126.46,624800,126.06
2011-03-02,124.11,125.13,123.01,124.29,743300,123.90
2011-03-01,126.91,127.48,123.31,124.10,1041300,123.71
2011-02-28,125.43,127.16,125.28,126.71,811200,126.31
2011-02-25,124.42,126.08,123.97,125.29,819800,124.89
2011-02-24,121.93,124.44,121.54,123.79,1112700,123.40
2011-02-23,123.94,123.98,120.77,122.10,1418100,121.71
2011-02-22,126.49,127.83,123.63,123.78,985500,123.39
2011-02-18,125.05,128.02,125.03,127.98,918000,127.58
2011-02-17,124.93,126.50,124.01,124.92,730300,124.53
2011-02-16,125.75,126.71,125.15,125.56,488800,125.16
2011-02-15,125.72,127.32,124.52,125.04,851500,124.65
