Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,75.38,76.62,75.00,75.77,1346200,75.77
2011-07-28,75.67,77.20,75.67,76.14,1027500,76.14
2011-07-27,77.42,77.44,75.18,75.34,1248000,75.34
2011-07-26,77.16,77.97,76.29,77.59,1282400,77.59
2011-07-25,77.55,77.88,76.24,76.68,1469100,76.68
2011-07-22,77.62,78.36,77.02,78.16,729700,78.16
2011-07-21,77.64,79.18,77.64,77.82,773300,77.82
2011-07-20,77.54,77.93,76.99,77.23,830800,77.23
2011-07-19,77.80,78.38,77.65,77.73,868300,77.73
2011-07-18,77.34,77.67,77.02,77.20,730600,77.20
2011-07-15,77.88,78.01,76.92,77.67,1127900,77.67
2011-07-14,78.76,79.19,77.47,77.77,998500,77.77
2011-07-13,79.39,79.98,78.29,78.52,891600,78.52
2011-07-12,79.18,79.64,78.60,78.82,1288200,78.82
2011-07-11,79.60,80.20,78.61,78.97,1461600,78.97
2011-07-08,80.70,81.16,79.25,80.08,1731100,80.08
2011-07-07,81.20,81.56,80.16,81.27,2472100,81.27
2011-07-06,81.11,81.64,80.57,81.07,1265800,81.07
2011-07-05,81.25,81.72,80.82,81.20,949100,81.20
2011-07-01,80.37,81.35,79.77,81.27,822200,81.27
2011-06-30,79.77,80.50,79.61,80.12,942800,80.12
2011-06-29,80.32,80.49,79.09,79.34,1039400,79.34
2011-06-28,78.39,80.44,78.39,80.31,1173500,80.31
2011-06-27,77.51,78.35,77.09,78.18,858800,78.18
2011-06-24,78.97,79.36,77.30,77.60,2020100,77.60
2011-06-23,77.41,79.25,77.29,79.09,1545600,79.09
2011-06-22,77.81,78.75,77.37,78.25,1219700,78.25
2011-06-21,76.31,78.31,75.39,78.24,1360500,78.24
2011-06-20,74.99,76.55,74.63,76.11,1062300,76.11
2011-06-17,75.89,76.76,75.16,75.18,1357000,75.18
2011-06-16,75.60,75.78,74.49,75.09,1188500,75.09
2011-06-15,76.01,76.60,75.20,75.59,1236800,75.59
2011-06-14,77.09,77.52,76.58,76.77,1013800,76.77
2011-06-13,76.45,76.84,75.82,76.45,1284500,76.45
2011-06-10,77.26,77.33,76.20,76.23,992600,76.23
2011-06-09,77.37,78.31,77.01,77.68,839200,77.68
2011-06-08,77.79,78.15,76.84,77.62,1082500,77.62
2011-06-07,77.90,79.14,77.90,78.22,558700,78.22
2011-06-06,79.14,79.38,77.88,77.93,1006100,77.93
2011-06-03,79.21,79.91,78.84,79.11,1073000,79.11
2011-06-02,80.30,80.76,79.68,80.10,817400,79.88
2011-06-01,81.94,82.55,80.61,80.72,1405000,80.50
2011-05-31,82.02,82.40,81.22,81.96,1201200,81.73
2011-05-27,82.02,82.41,81.49,81.71,1159300,81.49
2011-05-26,80.76,82.33,80.60,82.21,1507300,81.98
2011-05-25,81.16,81.55,79.09,81.16,1686200,80.94
2011-05-24,80.75,80.96,79.56,79.60,905000,79.38
2011-05-23,80.07,80.98,79.88,80.40,1091800,80.18
2011-05-20,80.36,81.04,79.26,80.79,1658300,80.57
2011-05-19,80.66,81.69,80.00,80.78,2102200,80.56
2011-05-18,80.73,81.90,79.78,81.86,1421300,81.64
