Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,13.81,14.18,13.66,13.92,4545900,13.92
2011-07-28,14.50,14.55,13.96,13.98,4481300,13.98
2011-07-27,15.30,15.40,14.22,14.46,9719700,14.46
2011-07-26,15.12,16.25,14.86,15.69,21954100,15.69
2011-07-25,13.03,13.25,13.00,13.09,2706900,13.09
2011-07-22,13.11,13.15,12.94,13.11,2189500,13.11
2011-07-21,12.87,13.16,12.86,13.15,2445600,13.15
2011-07-20,12.67,12.89,12.45,12.79,2756700,12.79
2011-07-19,12.61,12.75,12.40,12.65,2923400,12.65
2011-07-18,12.70,12.78,12.34,12.48,2501300,12.48
2011-07-15,12.93,12.97,12.56,12.76,2757500,12.76
2011-07-14,13.32,13.32,12.83,12.85,4873800,12.85
2011-07-13,13.40,13.68,13.32,13.38,2175000,13.38
2011-07-12,13.19,13.47,13.11,13.31,2345400,13.31
2011-07-11,13.43,13.51,13.17,13.24,2042100,13.24
2011-07-08,13.67,13.78,13.49,13.61,1551300,13.61
2011-07-07,13.75,13.91,13.64,13.79,2645400,13.79
2011-07-06,13.78,13.81,13.48,13.58,2729600,13.58
2011-07-05,13.71,13.86,13.62,13.83,2987100,13.83
2011-07-01,13.33,13.73,13.27,13.70,4217500,13.70
2011-06-30,13.01,13.50,13.00,13.31,29835600,13.31
2011-06-29,12.85,13.07,12.85,12.94,3529500,12.94
2011-06-28,12.82,12.93,12.70,12.73,2697400,12.73
2011-06-27,12.87,12.99,12.76,12.77,2521300,12.77
2011-06-24,12.99,13.08,12.69,12.85,5587800,12.85
2011-06-23,12.80,13.27,12.74,13.20,4534500,13.20
2011-06-22,13.04,13.05,12.89,12.94,3341000,12.94
2011-06-21,12.88,13.09,12.82,13.07,3109900,13.07
2011-06-20,12.60,12.81,12.48,12.79,2970800,12.79
2011-06-17,12.60,12.67,12.46,12.63,4543600,12.63
2011-06-16,12.56,12.66,12.28,12.49,2758800,12.49
2011-06-15,12.73,12.82,12.47,12.55,2594300,12.55
2011-06-14,12.87,13.08,12.76,12.89,3744500,12.89
2011-06-13,12.65,12.71,12.50,12.65,3036500,12.65
2011-06-10,12.81,12.84,12.51,12.66,2855800,12.66
2011-06-09,12.89,13.07,12.82,12.83,4799700,12.83
2011-06-08,13.16,13.23,12.84,12.89,4774300,12.89
2011-06-07,13.72,13.79,13.19,13.20,6057300,13.20
2011-06-06,14.07,14.12,13.67,13.68,3831800,13.68
2011-06-03,14.39,14.46,14.03,14.08,5212200,14.08
2011-06-02,15.12,15.16,14.55,14.57,3778500,14.57
2011-06-01,15.76,15.90,15.12,15.13,3447400,15.13
2011-05-31,15.74,15.83,15.62,15.76,3066200,15.76
2011-05-27,15.37,15.70,15.32,15.69,2193600,15.69
2011-05-26,15.20,15.60,15.17,15.37,4314300,15.37
2011-05-25,15.62,15.65,15.27,15.62,3704000,15.62
2011-05-24,15.53,15.74,15.41,15.44,2224400,15.44
2011-05-23,15.66,15.73,15.49,15.49,3757900,15.49
2011-05-20,16.08,16.08,15.81,15.83,2053800,15.83
2011-05-19,16.06,16.23,15.99,16.10,2597300,16.10
2011-05-18,15.91,16.14,15.90,16.06,2101500,16.06
2011-05-17,16.04,16.11,15.78,15.90,2345500,15.90
2011-05-16,16.24,16.36,16.09,16.12,1729400,16.12
2011-05-13,16.58,16.60,16.22,16.28,2398500,16.28
2011-05-12,16.14,16.55,16.07,16.52,2075400,16.52
2011-05-11,16.47,16.70,16.16,16.20,2482500,16.20
2011-05-10,16.00,16.46,15.98,16.40,2427600,16.40
2011-05-09,16.19,16.21,15.94,15.97,1708900,15.97
2011-05-06,16.14,16.42,16.06,16.15,2337600,16.15
2011-05-05,15.85,16.17,15.71,15.93,2407500,15.93
2011-05-04,16.05,16.22,15.78,15.93,1938900,15.93
2011-05-03,16.11,16.29,15.93,16.04,2144500,16.04
2011-05-02,15.90,16.26,15.90,16.16,3296600,16.16
2011-04-29,16.02,16.05,15.71,15.81,3933500,15.81
2011-04-28,16.05,16.08,15.82,15.99,2842500,15.99
2011-04-27,16.10,16.19,15.96,16.05,2892200,16.05
2011-04-26,15.94,16.06,15.78,16.03,2400000,16.03
2011-04-25,15.52,16.19,15.17,15.83,6894600,15.83
2011-04-21,15.98,16.00,15.80,15.83,2387200,15.83
2011-04-20,15.95,16.00,15.77,15.91,2587500,15.91
2011-04-19,15.75,16.02,15.70,15.77,2887400,15.77
2011-04-18,15.66,15.69,15.36,15.63,3421500,15.63
2011-04-15,15.82,15.88,15.63,15.80,2573700,15.80
2011-04-14,16.29,16.29,15.78,15.80,3428500,15.80
2011-04-13,16.38,16.43,16.23,16.34,2508300,16.34
2011-04-12,15.95,16.33,15.89,16.29,3376600,16.29
2011-04-11,15.96,16.06,15.86,16.02,2348900,16.02
2011-04-08,16.11,16.12,15.74,15.91,3984400,15.91
2011-04-07,15.93,16.22,15.82,16.03,4038500,16.03
2011-04-06,15.70,16.10,15.57,15.97,4831900,15.97
2011-04-05,14.91,15.71,14.90,15.71,6346200,15.71
2011-04-04,15.00,15.00,14.73,14.94,3183400,14.94
2011-04-01,15.15,15.15,14.82,14.88,2606500,14.88
2011-03-31,15.36,15.36,14.93,15.01,3224200,15.01
2011-03-30,15.23,15.45,15.00,15.38,4929300,15.38
2011-03-29,15.02,15.63,15.02,15.12,6166900,15.12
2011-03-28,14.35,15.23,14.23,15.01,8845000,15.01
2011-03-25,14.15,14.69,14.01,14.30,4263700,14.30
2011-03-24,14.14,14.45,14.06,14.06,2948400,14.06
2011-03-23,13.94,14.04,13.61,14.01,3005000,14.01
2011-03-22,14.15,14.25,13.92,13.95,2728400,13.95
2011-03-21,14.28,14.39,14.06,14.14,4079500,14.14
2011-03-18,14.06,14.11,13.90,14.10,3471700,14.10
2011-03-17,14.19,14.22,13.90,13.93,2274500,13.93
2011-03-16,14.26,14.29,13.98,13.99,2961200,13.99
2011-03-15,14.07,14.39,14.01,14.28,3344500,14.28
2011-03-14,14.69,14.80,14.35,14.45,3393800,14.45
2011-03-11,14.68,14.90,14.52,14.87,2599700,14.87
2011-03-10,14.88,14.90,14.61,14.63,3326900,14.63
2011-03-09,15.34,15.39,14.88,14.99,4790400,14.99
2011-03-08,14.62,15.56,14.50,15.40,7025800,15.40
2011-03-07,15.14,15.31,14.56,14.58,3739400,14.58
2011-03-04,14.86,15.27,14.85,15.07,4730700,15.07
2011-03-03,14.49,14.69,14.30,14.67,3497800,14.67
2011-03-02,14.54,14.60,14.28,14.35,3181100,14.35
2011-03-01,14.85,14.91,14.51,14.53,2182900,14.53
2011-02-28,15.08,15.08,14.64,14.80,3144900,14.80
2011-02-25,14.71,15.04,14.55,14.99,3299700,14.99
2011-02-24,14.86,14.99,14.51,14.68,3020900,14.68
2011-02-23,15.32,15.80,14.85,14.88,4815400,14.88
2011-02-22,15.55,15.79,15.28,15.31,2446000,15.31
2011-02-18,15.77,15.91,15.60,15.70,1622700,15.70
2011-02-17,15.78,15.90,15.68,15.79,2064900,15.79
2011-02-16,15.82,15.93,15.60,15.80,1807000,15.80
2011-02-15,15.58,15.86,15.56,15.65,1525300,15.65
2011-02-14,15.98,16.10,15.66,15.67,1445900,15.67
2011-02-11,15.71,16.03,15.66,16.03,1735100,16.03
