Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,5.23,5.28,5.17,5.26,56705400,5.26
2011-07-18,5.32,5.35,5.11,5.19,36265800,5.19
2011-07-15,5.32,5.41,5.30,5.35,29804200,5.35
2011-07-14,5.44,5.45,5.19,5.29,49271300,5.29
2011-07-13,5.44,5.50,5.39,5.41,19445700,5.41
2011-07-12,5.40,5.52,5.37,5.43,24162700,5.43
2011-07-11,5.41,5.47,5.39,5.42,35459100,5.42
2011-07-08,5.58,5.60,5.44,5.49,28635800,5.49
2011-07-07,5.59,5.75,5.57,5.65,60906100,5.65
2011-07-06,5.38,5.55,5.36,5.51,59272600,5.51
2011-07-05,5.39,5.44,5.33,5.39,32071400,5.39
2011-07-01,5.42,5.43,5.30,5.43,27386300,5.43
2011-06-30,5.26,5.40,5.18,5.39,59345600,5.39
2011-06-29,5.24,5.34,5.19,5.21,42863400,5.21
2011-06-28,5.16,5.23,5.10,5.22,35620900,5.22
2011-06-27,5.02,5.18,4.98,5.15,46123400,5.15
2011-06-24,5.08,5.12,4.98,5.00,42232500,5.00
2011-06-23,5.06,5.10,5.01,5.06,37576300,5.06
2011-06-22,5.22,5.23,5.09,5.12,53921400,5.12
2011-06-21,5.18,5.33,5.16,5.24,60559100,5.24
2011-06-20,5.23,5.25,5.14,5.21,26780600,5.21
2011-06-17,5.24,5.28,5.04,5.19,74143900,5.19
2011-06-16,5.30,5.32,5.20,5.21,34362600,5.21
2011-06-15,5.26,5.38,5.21,5.31,64718400,5.31
2011-06-14,5.32,5.38,5.26,5.33,45288200,5.33
2011-06-13,5.14,5.32,5.12,5.26,70538400,5.26
2011-06-10,5.39,5.40,5.21,5.22,42894500,5.22
2011-06-09,5.39,5.45,5.29,5.41,43766900,5.41
2011-06-08,5.39,5.50,5.34,5.34,47413500,5.34
2011-06-07,5.42,5.52,5.31,5.49,88637500,5.49
2011-06-06,5.69,5.80,5.58,5.60,36565800,5.60
2011-06-03,5.88,5.96,5.66,5.67,68079100,5.67
2011-06-02,5.84,6.45,5.81,5.93,80871500,5.93
2011-06-01,5.80,5.97,5.76,5.83,71132000,5.83
2011-05-31,5.90,5.93,5.80,5.85,48432800,5.85
2011-05-27,5.95,6.05,5.84,5.85,52379000,5.85
2011-05-26,5.87,5.96,5.75,5.91,68195700,5.91
2011-05-25,5.85,5.95,5.73,5.87,84818300,5.87
2011-05-24,5.57,5.90,5.56,5.84,145457200,5.84
2011-05-23,5.40,5.60,5.37,5.57,56680000,5.57
2011-05-20,5.42,5.57,5.37,5.47,95940000,5.47
2011-05-19,5.27,5.35,5.13,5.33,100185000,5.33
2011-05-18,5.14,5.25,5.13,5.23,33307000,5.23
2011-05-17,5.12,5.20,5.07,5.11,37833100,5.11
2011-05-16,5.08,5.20,5.04,5.11,34523500,5.11
2011-05-13,5.20,5.21,5.03,5.10,43003600,5.10
2011-05-12,5.17,5.25,5.13,5.17,34400000,5.17
2011-05-11,5.30,5.32,5.13,5.18,37382600,5.18
2011-05-10,5.30,5.37,5.27,5.30,64149700,5.30
2011-05-09,5.21,5.29,5.17,5.29,27804000,5.29
2011-05-06,5.31,5.32,5.19,5.20,29400600,5.20
2011-05-05,5.19,5.35,5.18,5.19,36358300,5.19
2011-05-04,5.12,5.30,5.07,5.27,56236200,5.27
2011-05-03,5.17,5.26,5.08,5.12,40098000,5.12
2011-05-02,5.25,5.34,5.17,5.19,48402300,5.19
2011-04-29,5.13,5.35,5.11,5.18,99900000,5.18
2011-04-28,4.93,5.11,4.86,5.11,130592300,5.11
2011-04-27,4.82,4.83,4.72,4.79,43751300,4.79
2011-04-26,4.81,4.84,4.76,4.81,30361800,4.81
2011-04-25,4.75,4.82,4.75,4.80,23065100,4.80
2011-04-21,4.80,4.82,4.73,4.81,29512200,4.81
2011-04-20,4.80,4.88,4.75,4.80,47926900,4.80
2011-04-19,4.81,4.82,4.66,4.74,48680300,4.74
2011-04-18,4.73,4.76,4.60,4.70,49769800,4.70
2011-04-15,4.97,4.98,4.80,4.81,63818700,4.81
2011-04-14,4.77,4.98,4.71,4.96,71248800,4.96
2011-04-13,4.81,4.86,4.71,4.81,52673700,4.81
2011-04-12,4.69,4.80,4.66,4.80,43900500,4.80
2011-04-11,4.78,4.80,4.70,4.71,41194900,4.71
2011-04-08,4.63,4.79,4.61,4.73,57281500,4.73
2011-04-07,4.65,4.72,4.59,4.62,32389700,4.62
2011-04-06,4.60,4.72,4.60,4.64,43525800,4.64
2011-04-05,4.61,4.62,4.54,4.55,25527600,4.55
2011-04-04,4.58,4.66,4.57,4.62,23130600,4.62
2011-04-01,4.70,4.70,4.56,4.56,30358700,4.56
2011-03-31,4.52,4.66,4.51,4.64,48651700,4.64
2011-03-30,4.60,4.64,4.55,4.56,53285400,4.56
2011-03-29,4.73,4.76,4.50,4.62,93943200,4.62
2011-03-28,4.71,4.80,4.68,4.78,66551000,4.78
2011-03-25,4.59,4.69,4.55,4.68,48585600,4.68
2011-03-24,4.51,4.60,4.48,4.56,61669700,4.56
2011-03-23,4.51,4.52,4.34,4.49,70457000,4.49
2011-03-22,4.45,4.56,4.35,4.47,124366100,4.47
2011-03-21,4.45,4.50,4.17,4.36,303227900,4.36
2011-03-18,5.12,5.26,5.01,5.05,60580700,5.05
2011-03-17,4.97,5.07,4.96,5.06,47861700,5.06
2011-03-16,4.94,4.98,4.78,4.86,46509400,4.86
2011-03-15,4.87,5.04,4.83,4.95,68662700,4.95
2011-03-14,5.01,5.15,4.95,5.02,85272700,5.02
2011-03-11,4.85,5.15,4.83,5.00,102951300,5.00
2011-03-10,4.66,4.93,4.64,4.90,110442200,4.90
2011-03-09,4.63,4.71,4.62,4.70,50296600,4.70
2011-03-08,4.72,4.81,4.61,4.70,170369200,4.70
2011-03-07,4.44,4.53,4.36,4.48,65569600,4.48
2011-03-04,4.36,4.39,4.27,4.34,25523900,4.34
2011-03-03,4.30,4.40,4.29,4.33,46670600,4.33
2011-03-02,4.23,4.33,4.19,4.25,54065800,4.25
2011-03-01,4.37,4.37,4.20,4.21,40068800,4.21
2011-02-28,4.32,4.37,4.32,4.37,27729200,4.37
2011-02-25,4.31,4.35,4.26,4.31,35089100,4.31
2011-02-24,4.24,4.29,4.12,4.26,69304700,4.26
2011-02-23,4.35,4.39,4.12,4.20,71335400,4.20
2011-02-22,4.45,4.46,4.30,4.32,49075000,4.32
2011-02-18,4.45,4.53,4.40,4.50,66267600,4.50
2011-02-17,4.49,4.51,4.41,4.43,41033700,4.43
2011-02-16,4.50,4.54,4.44,4.47,64281400,4.47
2011-02-15,4.57,4.59,4.44,4.46,52068700,4.46
2011-02-14,4.59,4.61,4.50,4.55,49871900,4.55
2011-02-11,4.49,4.60,4.46,4.60,58145200,4.60
2011-02-10,4.50,4.62,4.40,4.60,138431300,4.60
2011-02-09,4.30,4.40,4.28,4.35,53625200,4.35
2011-02-08,4.38,4.38,4.29,4.31,52314400,4.31
2011-02-07,4.47,4.49,4.35,4.40,53818200,4.40
2011-02-04,4.36,4.50,4.32,4.40,103891900,4.40
2011-02-03,4.35,4.37,4.27,4.35,43168600,4.35
