Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,39.39,39.57,39.04,39.57,946100,39.57
2011-07-18,39.54,39.64,39.24,39.30,1012600,39.30
2011-07-15,39.62,39.74,39.27,39.74,1534600,39.74
2011-07-14,39.46,39.65,39.36,39.49,1065800,39.49
2011-07-13,39.33,39.52,39.21,39.31,864300,39.31
2011-07-12,39.00,39.48,39.00,39.23,674000,39.23
2011-07-11,39.22,39.28,38.96,39.13,468300,39.13
2011-07-08,39.55,39.68,39.46,39.55,841400,39.55
2011-07-07,39.79,39.86,39.52,39.73,521300,39.73
2011-07-06,39.36,39.71,39.34,39.56,594400,39.56
2011-07-05,39.85,39.85,39.36,39.50,703100,39.50
2011-07-01,39.46,39.89,39.41,39.86,686500,39.86
2011-06-30,39.47,39.49,39.15,39.37,699500,39.37
2011-06-29,39.10,39.40,39.01,39.31,630500,39.31
2011-06-28,39.04,39.20,38.80,39.05,551600,39.05
2011-06-27,38.66,39.00,38.66,38.91,485200,38.91
2011-06-24,38.61,38.91,38.57,38.66,665900,38.66
2011-06-23,38.50,38.61,38.16,38.53,1063300,38.53
2011-06-22,39.00,39.05,38.69,38.81,657000,38.81
2011-06-21,39.13,39.19,38.83,39.03,711200,39.03
2011-06-20,38.76,39.10,38.52,38.95,1176000,38.95
2011-06-17,38.95,39.13,38.70,38.76,2105900,38.76
2011-06-16,38.78,39.20,38.75,38.78,853300,38.78
2011-06-15,38.97,39.28,38.64,38.79,639800,38.79
2011-06-14,39.26,39.37,39.00,39.18,1389800,39.18
2011-06-13,39.03,39.15,38.77,39.03,1605600,39.03
2011-06-10,39.17,39.28,38.89,38.90,877200,38.90
2011-06-09,39.46,39.46,39.11,39.22,1103000,39.22
2011-06-08,39.13,39.43,38.91,39.38,1035500,39.38
2011-06-07,39.51,39.77,39.38,39.52,902900,39.04
2011-06-06,39.77,39.81,39.36,39.40,1151000,38.92
2011-06-03,39.59,40.28,39.59,39.89,968700,39.40
2011-06-02,40.30,40.41,39.92,40.38,870800,39.88
2011-06-01,40.54,40.69,40.28,40.33,722200,39.84
2011-05-31,40.74,40.86,40.46,40.67,845900,40.17
2011-05-27,40.59,40.69,40.35,40.44,501500,39.94
2011-05-26,40.42,40.57,40.16,40.45,553900,39.95
2011-05-25,40.43,40.70,40.30,40.43,780300,39.93
2011-05-24,41.07,41.07,40.75,40.76,347000,40.26
2011-05-23,41.22,41.29,40.89,40.94,652800,40.44
2011-05-20,41.81,41.81,41.36,41.49,835800,40.98
2011-05-19,41.83,41.95,41.64,41.84,367700,41.33
2011-05-18,41.92,41.92,41.47,41.75,540700,41.24
2011-05-17,41.60,41.91,41.59,41.84,585100,41.33
2011-05-16,41.80,42.13,41.68,41.76,614500,41.25
2011-05-13,42.08,42.20,41.57,41.93,452600,41.42
2011-05-12,41.63,42.09,41.63,42.01,606000,41.49
2011-05-11,41.81,41.98,41.57,41.77,599100,41.26
2011-05-10,41.32,41.99,41.32,41.92,334300,41.41
2011-05-09,41.20,41.41,41.03,41.34,316100,40.83
2011-05-06,41.31,41.61,41.01,41.22,546000,40.71
2011-05-05,41.24,41.40,40.86,41.01,406500,40.51
2011-05-04,41.46,41.69,41.21,41.36,588900,40.85
2011-05-03,41.51,41.83,41.42,41.60,580900,41.09
2011-05-02,41.72,41.81,41.51,41.62,536500,41.11
2011-04-29,41.50,41.62,41.32,41.52,771000,41.01
2011-04-28,41.25,41.50,40.92,41.47,935900,40.96
2011-04-27,40.38,40.67,40.13,40.59,714600,40.09
2011-04-26,39.85,40.35,39.73,40.35,889300,39.85
2011-04-25,39.45,39.80,39.37,39.64,367900,39.15
2011-04-21,39.62,39.68,39.48,39.56,378200,39.07
2011-04-20,39.39,39.63,39.23,39.62,645200,39.13
2011-04-19,39.00,39.18,38.89,39.08,755200,38.60
2011-04-18,38.88,39.16,38.57,38.86,683600,38.38
2011-04-15,39.09,39.34,38.94,39.20,780200,38.72
2011-04-14,38.70,39.02,38.61,38.98,561300,38.50
2011-04-13,38.76,39.02,38.73,38.88,622600,38.40
2011-04-12,38.80,39.00,38.61,38.62,564000,38.15
2011-04-11,39.29,39.33,38.86,38.94,435900,38.46
2011-04-08,39.66,39.66,39.09,39.22,302400,38.74
2011-04-07,39.67,39.69,39.35,39.47,475000,38.99
2011-04-06,39.57,39.87,39.50,39.72,599700,39.23
2011-04-05,39.60,39.69,39.41,39.50,627700,39.02
2011-04-04,39.63,39.68,39.51,39.68,619400,39.19
2011-04-01,39.76,39.77,39.47,39.69,644100,39.20
2011-03-31,39.41,39.49,39.22,39.37,565900,38.89
2011-03-30,39.25,39.46,39.22,39.37,773100,38.89
2011-03-29,38.85,39.10,38.73,39.10,605100,38.62
2011-03-28,39.06,39.35,38.87,38.91,441300,38.43
2011-03-25,39.15,39.41,39.05,39.06,443000,38.58
2011-03-24,39.09,39.18,38.84,39.05,412400,38.57
2011-03-23,38.86,38.98,38.65,38.90,585600,38.42
2011-03-22,39.07,39.26,38.98,39.01,624800,38.53
2011-03-21,38.90,39.14,38.78,39.00,674500,38.52
2011-03-18,38.63,38.95,38.36,38.50,811700,38.03
2011-03-17,38.55,38.55,37.86,38.28,864600,37.81
2011-03-16,38.60,38.78,37.90,38.08,1708400,37.61
2011-03-15,38.13,38.90,38.08,38.73,1936200,38.25
2011-03-14,39.41,39.41,38.27,39.04,2432600,38.56
2011-03-11,40.03,40.22,39.73,40.05,659200,39.56
2011-03-10,40.44,40.46,40.02,40.02,561600,39.53
2011-03-09,40.38,40.73,40.19,40.69,561100,40.19
2011-03-08,40.03,40.61,39.89,40.54,764600,40.04
2011-03-07,40.40,40.59,40.15,40.29,757700,39.32
2011-03-04,40.46,40.57,40.01,40.20,705900,39.23
2011-03-03,40.34,40.61,40.32,40.48,671200,39.50
2011-03-02,40.17,40.41,40.06,40.12,1133500,39.15
2011-03-01,40.59,40.71,40.12,40.25,927900,39.28
2011-02-28,40.48,40.84,40.40,40.48,900000,39.50
2011-02-25,40.38,40.38,40.08,40.36,715300,39.38
2011-02-24,40.24,40.36,40.01,40.14,791000,39.17
2011-02-23,40.22,40.45,40.13,40.16,639700,39.19
2011-02-22,40.13,40.48,40.03,40.29,910900,39.32
2011-02-18,40.63,40.63,40.25,40.43,740800,39.45
2011-02-17,40.19,40.61,40.15,40.57,865400,39.59
2011-02-16,40.37,40.46,40.13,40.26,750500,39.29
2011-02-15,40.14,40.38,39.92,40.34,915600,39.37
2011-02-14,40.06,40.41,39.85,40.14,1570400,39.17
2011-02-11,42.39,42.59,39.90,40.67,5121600,39.69
2011-02-10,42.47,42.65,42.31,42.41,710900,41.39
2011-02-09,42.59,42.67,42.42,42.59,609100,41.56
2011-02-08,42.80,42.83,42.65,42.74,347600,41.71
2011-02-07,42.60,42.81,42.51,42.80,310200,41.77
2011-02-04,42.67,42.67,42.24,42.51,367600,41.48
2011-02-03,42.55,42.71,42.27,42.61,490700,41.58
2011-02-02,42.67,42.78,42.51,42.56,342200,41.53
2011-02-01,42.50,42.83,42.42,42.79,364300,41.76
2011-01-31,42.24,42.40,42.11,42.27,687500,41.25
2011-01-28,42.67,42.77,42.02,42.07,751400,41.05
2011-01-27,42.34,42.76,42.25,42.67,637900,41.64
2011-01-26,42.50,42.51,42.07,42.25,607600,41.23
2011-01-25,42.27,42.50,42.14,42.50,535500,41.47
2011-01-24,42.10,42.45,42.02,42.27,516700,41.25
2011-01-21,42.14,42.15,41.78,42.00,512200,40.99
2011-01-20,41.82,42.17,41.76,41.94,652200,40.93
2011-01-19,41.82,41.93,41.53,41.79,642300,40.78
2011-01-18,41.66,41.91,41.63,41.82,612200,40.81
2011-01-14,41.51,41.84,41.45,41.84,624800,40.83
2011-01-13,41.31,41.50,41.15,41.50,406100,40.50
2011-01-12,41.44,41.59,41.14,41.32,480400,40.32
2011-01-11,41.24,41.41,41.11,41.24,512000,40.24
2011-01-10,41.07,41.18,40.58,41.08,592800,40.09
2011-01-07,40.68,41.16,40.61,41.12,844800,40.13
2011-01-06,40.45,40.66,40.24,40.65,974600,39.67
2011-01-05,40.48,40.71,40.31,40.52,724200,39.54
2011-01-04,40.88,40.92,40.31,40.69,744900,39.71
2011-01-03,40.94,41.01,40.65,40.75,533100,39.77
2010-12-31,40.73,40.83,40.58,40.60,348000,39.62
2010-12-30,40.86,40.87,40.60,40.79,313400,39.80
2010-12-29,40.91,40.95,40.75,40.87,301700,39.88
2010-12-28,40.83,40.90,40.61,40.86,266400,39.87
2010-12-27,40.83,40.88,40.59,40.79,237200,39.80
2010-12-23,40.87,40.91,40.74,40.88,322700,39.89
2010-12-22,40.87,40.95,40.75,40.92,258700,39.93
2010-12-21,40.86,40.90,40.69,40.80,453800,39.81
2010-12-20,40.92,40.93,40.54,40.72,843600,39.74
2010-12-17,40.66,40.83,40.45,40.76,792700,39.78
2010-12-16,40.38,40.81,40.25,40.75,610800,39.77
2010-12-15,40.84,40.85,40.35,40.35,877600,39.38
2010-12-14,40.64,40.85,40.63,40.85,800500,39.86
2010-12-13,40.39,40.67,40.32,40.57,606700,39.59
2010-12-10,40.29,40.43,40.18,40.23,636300,39.26
2010-12-09,40.38,40.42,40.03,40.18,698500,39.21
2010-12-08,40.61,40.72,40.05,40.28,756900,39.31
2010-12-07,41.39,41.49,40.75,40.93,927100,39.48
2010-12-06,41.18,41.22,40.94,41.12,561200,39.66
2010-12-03,41.03,41.30,40.81,41.18,624400,39.72
2010-12-02,41.04,41.29,40.91,41.22,2243600,39.76
2010-12-01,41.06,41.19,40.72,40.95,2063000,39.50
2010-11-30,40.57,40.85,40.45,40.62,2090600,39.18
2010-11-29,40.74,40.92,40.33,40.80,677400,39.35
2010-11-26,40.93,41.36,40.80,41.04,397600,39.58
2010-11-24,40.91,41.14,40.86,41.09,441900,39.63
2010-11-23,40.86,40.86,40.46,40.70,508800,39.26
2010-11-22,40.84,41.15,40.65,41.13,452100,39.67
2010-11-19,41.19,41.23,40.68,40.92,737600,39.47
2010-11-18,41.15,41.24,40.91,41.10,473400,39.64
2010-11-17,40.65,40.99,40.59,40.88,778900,39.43
2010-11-16,40.97,40.99,40.35,40.57,647500,39.13
2010-11-15,40.93,41.45,40.90,41.19,444500,39.73
2010-11-12,41.05,41.11,40.75,40.94,435100,39.49
2010-11-11,41.05,41.49,41.03,41.24,663800,39.78
2010-11-10,41.13,41.26,40.86,41.25,569200,39.79
2010-11-09,41.57,41.63,41.08,41.21,605700,39.75
2010-11-08,41.52,41.62,41.27,41.50,597400,40.03
2010-11-05,41.44,41.70,41.40,41.67,792200,40.19
2010-11-04,41.42,41.49,41.29,41.41,768000,39.94
2010-11-03,41.21,41.25,40.64,41.00,470900,39.55
2010-11-02,40.75,41.17,40.75,41.15,447100,39.69
