Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,27.23,27.49,27.05,27.35,2270800,27.35
2011-07-18,27.29,27.31,27.01,27.13,2502100,27.13
2011-07-15,27.20,27.45,27.11,27.43,3164700,27.43
2011-07-14,26.97,27.24,26.90,26.92,2930300,26.92
2011-07-13,27.05,27.32,26.84,26.92,3029300,26.92
2011-07-12,27.00,27.31,26.93,26.99,2937500,26.99
2011-07-11,27.34,27.51,27.08,27.14,2070800,27.14
2011-07-08,27.63,27.75,27.49,27.66,2023900,27.66
2011-07-07,27.97,28.00,27.79,27.93,1932800,27.93
2011-07-06,27.69,27.83,27.60,27.74,1938300,27.74
2011-07-05,27.80,27.97,27.72,27.77,2680700,27.77
2011-07-01,27.43,27.82,27.21,27.80,2559400,27.80
2011-06-30,27.28,27.42,27.07,27.41,2693500,27.41
2011-06-29,26.97,27.33,26.94,27.16,2711800,27.16
2011-06-28,26.68,27.00,26.65,26.98,3008400,26.98
2011-06-27,26.34,26.78,26.25,26.59,2354000,26.59
2011-06-24,26.80,26.82,26.42,26.45,3559900,26.45
2011-06-23,26.64,26.78,26.17,26.75,4015400,26.75
2011-06-22,27.12,27.28,27.00,27.02,3009000,27.02
2011-06-21,26.94,27.37,26.93,27.26,3176800,27.26
2011-06-20,26.53,26.88,26.53,26.84,5038300,26.84
2011-06-17,26.75,26.88,26.50,26.63,5075700,26.63
2011-06-16,26.58,26.78,26.34,26.50,5023500,26.50
2011-06-15,27.08,27.08,26.34,26.54,4443000,26.54
2011-06-14,27.08,27.32,27.01,27.22,2954500,27.22
2011-06-13,27.06,27.16,26.66,26.76,3532700,26.76
2011-06-10,27.05,27.10,26.87,26.92,3126300,26.92
2011-06-09,26.98,27.28,26.83,27.16,2607600,27.16
2011-06-08,26.99,27.04,26.74,26.90,3516700,26.90
2011-06-07,26.93,27.28,26.78,26.96,4984900,26.96
2011-06-06,27.22,27.36,26.65,26.71,2785000,26.71
2011-06-03,26.90,27.35,26.81,27.13,2656500,27.13
2011-06-02,27.26,27.40,26.95,27.27,3756200,27.27
2011-06-01,27.48,27.58,27.15,27.19,3645000,27.19
2011-05-31,27.42,27.63,27.28,27.59,3007000,27.59
2011-05-27,27.33,27.59,27.19,27.25,2388100,27.25
2011-05-26,27.30,27.40,26.94,27.33,2118400,27.33
2011-05-25,27.33,27.42,26.79,27.33,2230100,27.33
2011-05-24,27.24,27.36,27.01,27.07,3127200,27.07
2011-05-23,27.10,27.23,26.87,27.09,2362000,27.09
2011-05-20,27.54,27.63,27.07,27.39,2998400,27.39
2011-05-19,27.53,27.69,27.26,27.54,2802900,27.54
2011-05-18,27.03,27.50,27.03,27.34,3921900,27.34
2011-05-17,26.94,27.12,26.65,26.93,5045800,26.93
2011-05-16,27.23,27.47,27.02,27.06,2839400,27.06
2011-05-13,27.55,27.82,27.04,27.28,3232100,27.28
2011-05-12,27.56,27.67,27.17,27.50,3578200,27.50
2011-05-11,28.32,28.34,27.43,27.58,3503800,27.58
2011-05-10,28.43,28.79,28.35,28.68,2163500,28.42
2011-05-09,28.17,28.44,28.02,28.40,2340600,28.14
2011-05-06,27.90,28.41,27.75,28.07,3903000,27.82
2011-05-05,27.95,28.02,27.37,27.63,4329400,27.38
2011-05-04,28.00,28.30,27.55,28.13,7243700,27.87
2011-05-03,28.55,28.63,27.78,28.03,4752400,27.78
2011-05-02,29.24,29.24,28.48,28.71,4699800,28.45
2011-04-29,28.86,29.15,28.78,29.04,2950100,28.78
2011-04-28,28.75,28.97,28.63,28.80,3001300,28.54
2011-04-27,28.55,28.92,28.20,28.79,4441600,28.53
2011-04-26,28.20,28.55,28.12,28.39,3700000,28.13
2011-04-25,28.02,28.09,27.81,28.07,1742300,27.82
2011-04-21,27.98,28.03,27.81,28.00,2776900,27.75
2011-04-20,27.35,27.93,27.27,27.90,3706700,27.65
2011-04-19,27.01,27.15,26.90,27.05,3291100,26.80
2011-04-18,27.18,27.18,26.88,27.01,3221100,26.77
2011-04-15,27.17,27.52,27.05,27.48,4756700,27.23
2011-04-14,26.84,27.20,26.76,27.11,2508500,26.86
2011-04-13,27.03,27.18,26.77,26.96,3976000,26.72
2011-04-12,27.10,27.11,26.71,26.87,3416200,26.63
2011-04-11,27.23,27.45,27.04,27.19,4015800,26.94
2011-04-08,27.09,27.24,26.97,27.16,2468800,26.91
2011-04-07,27.08,27.18,26.85,27.00,3373200,26.76
2011-04-06,27.39,27.42,27.01,27.10,3043900,26.85
2011-04-05,27.26,27.45,27.19,27.32,2856800,27.07
2011-04-04,27.42,27.49,27.25,27.31,2235700,27.06
2011-04-01,27.53,27.58,27.28,27.39,2328500,27.14
2011-03-31,27.18,27.50,27.16,27.18,2924700,26.93
2011-03-30,27.14,27.34,27.00,27.27,2186700,27.02
2011-03-29,26.82,26.97,26.64,26.94,2770600,26.70
2011-03-28,27.21,27.33,26.84,26.86,2135500,26.62
2011-03-25,26.81,27.13,26.76,27.09,2302600,26.84
2011-03-24,26.76,26.76,26.40,26.73,1695100,26.49
2011-03-23,26.49,26.61,26.35,26.58,2248500,26.34
2011-03-22,26.53,26.58,26.39,26.51,2641900,26.27
2011-03-21,26.33,26.64,26.16,26.57,2235300,26.33
2011-03-18,26.26,26.29,25.93,26.01,3237800,25.77
2011-03-17,25.91,26.08,25.74,26.00,3217400,25.76
2011-03-16,25.83,25.97,25.16,25.48,4731400,25.25
2011-03-15,25.62,26.02,25.37,25.85,4141500,25.62
2011-03-14,26.18,26.38,26.05,26.34,5521100,26.10
2011-03-11,25.76,26.34,25.76,26.22,2731500,25.98
2011-03-10,26.66,26.68,26.00,26.04,4342800,25.80
2011-03-09,26.91,27.24,26.85,26.92,2405900,26.68
2011-03-08,26.99,27.12,26.77,27.02,2726300,26.78
2011-03-07,26.97,27.24,26.78,26.98,3729300,26.74
2011-03-04,26.85,26.99,26.72,26.96,3637700,26.72
2011-03-03,26.57,26.92,26.53,26.84,2931100,26.60
2011-03-02,26.38,26.52,26.13,26.40,3704700,26.16
2011-03-01,26.83,26.87,26.27,26.40,4399700,26.16
2011-02-28,26.43,26.75,26.31,26.75,3066800,26.51
2011-02-25,26.18,26.36,26.11,26.36,2270900,26.12
2011-02-24,26.04,26.20,25.82,26.10,4574700,25.86
2011-02-23,25.98,26.26,25.93,26.09,3581500,25.85
2011-02-22,26.01,26.30,25.80,25.92,4470800,25.69
2011-02-18,26.48,26.54,26.23,26.25,3297300,26.01
2011-02-17,26.16,26.57,26.16,26.46,3764800,26.22
2011-02-16,25.99,26.33,25.99,26.20,2220800,25.96
2011-02-15,25.88,26.03,25.66,25.94,2199800,25.70
2011-02-14,25.86,26.05,25.77,25.94,2722000,25.70
2011-02-11,25.75,25.95,25.60,25.85,3103300,25.62
2011-02-10,25.79,25.92,25.51,25.76,3925900,25.53
2011-02-09,26.19,26.19,25.82,25.89,2656100,25.66
2011-02-08,26.41,26.51,26.14,26.34,2210500,25.84
2011-02-07,26.29,26.56,26.20,26.32,3241800,25.82
2011-02-04,26.52,26.52,26.01,26.19,4045400,25.70
2011-02-03,26.36,26.53,26.06,26.19,4515300,25.70
2011-02-02,26.25,26.48,26.21,26.33,1939300,25.83
2011-02-01,26.31,26.47,26.25,26.41,2368100,25.91
2011-01-31,25.88,26.25,25.85,26.23,2686100,25.74
2011-01-28,26.10,26.19,25.66,25.70,2587800,25.22
2011-01-27,25.92,26.30,25.82,26.05,3042100,25.56
2011-01-26,25.66,26.00,25.55,25.93,3295500,25.44
2011-01-25,25.73,25.87,25.38,25.59,2423300,25.11
2011-01-24,25.46,25.84,25.45,25.77,4959600,25.28
2011-01-21,25.51,25.60,25.40,25.48,3822200,25.00
2011-01-20,25.12,25.39,24.93,25.31,3654000,24.83
2011-01-19,25.51,25.61,25.01,25.12,2730800,24.65
2011-01-18,25.00,25.25,25.00,25.12,1654300,24.65
2011-01-14,24.78,25.07,24.67,25.01,2410500,24.54
2011-01-13,25.25,25.37,24.73,24.81,3726000,24.34
2011-01-12,25.25,25.38,25.12,25.22,2427000,24.74
2011-01-11,24.70,25.14,24.62,25.12,3355000,24.65
2011-01-10,24.77,24.77,24.44,24.72,2934500,24.25
2011-01-07,24.91,24.99,24.68,24.96,2531600,24.49
2011-01-06,25.31,25.34,24.81,24.86,3544100,24.39
2011-01-05,25.16,25.29,24.92,25.28,2435100,24.80
2011-01-04,25.13,25.21,24.83,25.21,3538900,24.73
2011-01-03,25.20,25.25,25.00,25.04,2340600,24.57
2010-12-31,24.91,25.12,24.84,24.99,1656100,24.52
2010-12-30,25.28,25.45,24.97,24.99,2397800,24.52
2010-12-29,25.22,25.34,25.19,25.26,1471400,24.78
2010-12-28,25.18,25.24,25.07,25.22,1263300,24.74
2010-12-27,25.02,25.19,24.91,25.11,1241100,24.64
2010-12-23,25.12,25.17,24.97,25.07,1449900,24.60
2010-12-22,25.00,25.17,24.93,25.12,1867300,24.65
2010-12-21,24.84,24.99,24.78,24.94,1759000,24.47
2010-12-20,24.50,24.82,24.32,24.77,2880000,24.30
2010-12-17,24.42,24.50,24.34,24.40,4583700,23.94
2010-12-16,24.53,24.60,24.29,24.48,3187300,24.02
2010-12-15,24.82,24.87,24.42,24.48,3177800,24.02
2010-12-14,25.06,25.11,24.76,24.83,2998200,24.36
2010-12-13,24.90,25.13,24.67,24.97,2704500,24.50
2010-12-10,24.50,24.64,24.49,24.53,2004800,24.07
2010-12-09,24.69,24.76,24.38,24.46,2328600,24.00
2010-12-08,24.69,24.69,24.36,24.58,2218700,24.12
2010-12-07,24.78,24.88,24.48,24.52,2472900,24.06
2010-12-06,24.73,24.83,24.58,24.59,2141600,24.13
2010-12-03,24.73,24.80,24.50,24.70,5432800,24.23
2010-12-02,24.43,24.81,24.40,24.76,2725100,24.29
2010-12-01,24.17,24.62,24.13,24.44,2844000,23.98
2010-11-30,23.62,23.94,23.55,23.77,2983000,23.32
2010-11-29,23.71,23.91,23.48,23.85,2659400,23.40
