Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,77.97,78.70,77.31,77.92,580300,77.92
2011-07-28,78.67,79.25,78.45,78.51,454900,78.51
2011-07-27,78.75,78.99,78.30,78.65,693000,78.65
2011-07-26,79.40,79.48,78.77,78.86,442300,78.86
2011-07-25,80.00,80.10,79.37,79.46,595300,79.46
2011-07-22,79.82,80.25,79.36,80.00,537200,80.00
2011-07-21,78.94,80.00,78.59,79.67,733000,79.67
2011-07-20,78.72,78.73,77.78,78.49,656800,78.49
2011-07-19,76.82,78.61,76.80,78.56,945200,78.56
2011-07-18,75.96,76.84,75.36,76.66,986200,76.66
2011-07-15,76.08,76.47,75.65,76.30,702800,76.30
2011-07-14,76.45,76.86,75.77,75.96,434600,75.96
2011-07-13,76.73,77.03,76.29,76.44,523400,76.44
2011-07-12,75.62,77.08,75.50,76.50,697000,76.50
2011-07-11,75.71,76.18,75.50,76.13,624800,76.13
2011-07-08,76.46,76.66,76.07,76.25,534200,76.25
2011-07-07,76.93,77.10,76.09,77.08,631400,77.08
2011-07-06,76.18,76.64,76.08,76.30,495700,76.30
2011-07-05,76.73,76.95,76.14,76.53,622800,76.53
2011-07-01,76.42,76.95,76.30,76.86,602100,76.86
2011-06-30,76.59,77.18,76.06,76.44,712700,76.44
2011-06-29,76.29,76.44,75.89,76.29,607700,76.29
2011-06-28,75.79,76.25,75.60,75.96,795000,75.96
2011-06-27,75.15,75.87,75.03,75.48,895500,75.48
2011-06-24,76.38,76.44,74.90,74.90,1539100,74.90
2011-06-23,77.17,77.17,75.77,76.23,839100,76.23
2011-06-22,78.11,78.45,77.53,77.64,491700,77.64
2011-06-21,78.23,78.64,77.95,78.43,655800,78.43
2011-06-20,77.07,78.46,76.67,77.88,684100,77.88
2011-06-17,76.40,77.15,76.27,77.04,1385800,77.04
2011-06-16,76.40,76.83,75.88,76.09,884300,76.09
2011-06-15,77.48,77.55,76.08,76.42,1267200,76.42
2011-06-14,77.58,77.99,77.40,77.82,625500,77.82
2011-06-13,77.19,77.27,76.67,76.89,630700,76.89
2011-06-10,77.73,78.20,76.85,77.01,1238900,77.01
2011-06-09,76.83,78.97,76.50,78.13,1522300,78.13
2011-06-08,77.86,77.86,76.32,76.39,963300,76.39
2011-06-07,77.70,78.20,77.41,77.81,526000,77.81
2011-06-06,78.24,78.73,77.13,77.32,805600,77.32
2011-06-03,78.14,78.77,77.94,78.18,912600,78.18
2011-06-02,78.28,79.42,78.28,78.95,1134300,78.95
2011-06-01,79.30,79.84,78.82,79.34,840900,79.34
2011-05-31,78.85,79.28,78.29,79.28,839000,79.28
2011-05-27,77.83,78.44,77.53,78.26,686900,78.26
2011-05-26,76.17,77.32,75.52,77.32,748800,77.32
2011-05-25,76.32,77.14,76.32,76.32,583900,76.32
2011-05-24,77.15,77.73,77.15,77.37,608100,77.37
2011-05-23,77.26,77.51,76.62,76.91,376300,76.91
2011-05-20,77.15,78.36,76.73,77.81,704700,77.81
