Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,45.77,46.62,45.77,46.46,756500,46.46
2011-07-18,47.15,47.15,45.55,45.67,1895700,45.67
2011-07-15,47.84,48.03,47.46,47.76,1109100,47.76
2011-07-14,47.19,47.86,46.98,47.70,1444200,47.70
2011-07-13,47.23,47.48,46.88,47.03,988600,47.03
2011-07-12,47.05,47.66,46.76,46.83,764600,46.83
2011-07-11,46.83,47.77,46.81,47.22,1325900,47.22
2011-07-08,48.52,48.53,47.37,47.39,2164000,47.39
2011-07-07,49.60,49.70,49.01,49.09,962300,49.09
2011-07-06,49.58,49.63,49.07,49.14,879800,49.14
2011-07-05,49.37,49.89,49.23,49.64,1081300,49.64
2011-07-01,48.92,49.58,48.81,49.35,1285200,49.35
2011-06-30,49.58,50.98,47.54,48.88,4395600,48.88
2011-06-29,48.60,49.47,48.54,49.07,834600,49.07
2011-06-28,47.76,48.56,47.65,48.54,755100,48.54
2011-06-27,47.46,47.83,47.13,47.64,485800,47.64
2011-06-24,47.51,47.65,47.22,47.36,748000,47.36
2011-06-23,47.27,47.63,46.88,47.53,1341100,47.53
2011-06-22,47.52,48.23,47.33,48.14,959200,48.14
2011-06-21,46.87,47.79,46.74,47.69,729400,47.69
2011-06-20,46.91,46.98,46.17,46.57,1003500,46.57
2011-06-17,44.92,48.09,44.81,47.14,3918000,47.14
2011-06-16,45.78,45.92,43.79,44.52,1642900,44.52
2011-06-15,46.00,46.28,45.66,45.85,682900,45.85
2011-06-14,46.16,46.43,46.05,46.33,493000,46.33
2011-06-13,46.04,46.33,45.71,45.79,594600,45.79
2011-06-10,46.19,46.36,45.89,45.98,974900,45.98
2011-06-09,45.91,46.56,45.43,46.45,812700,46.45
2011-06-08,46.00,46.22,45.52,45.71,664800,45.71
2011-06-07,46.50,46.59,45.95,46.06,984000,46.06
2011-06-06,47.10,47.15,46.31,46.31,1034200,46.31
2011-06-03,47.31,47.54,46.93,47.02,907100,47.02
2011-06-02,48.63,48.75,47.90,48.01,1067400,48.01
2011-06-01,50.27,50.27,48.42,48.42,838600,48.42
2011-05-31,50.66,50.67,49.78,50.43,869700,50.43
2011-05-27,50.22,50.38,49.81,50.18,514800,50.18
2011-05-26,49.40,50.31,49.24,50.10,751600,50.10
2011-05-25,49.66,49.80,49.35,49.59,662700,49.49
2011-05-24,49.51,49.94,49.21,49.79,956000,49.69
2011-05-23,49.19,49.49,48.57,48.75,1064700,48.65
2011-05-20,51.95,52.37,49.97,49.98,1260700,49.88
2011-05-19,52.05,52.25,51.65,51.99,481900,51.89
2011-05-18,50.27,51.77,50.27,51.76,483100,51.66
2011-05-17,50.21,50.35,49.80,50.31,447800,50.21
2011-05-16,50.66,50.84,50.20,50.32,521400,50.22
2011-05-13,51.39,51.49,50.44,50.77,674000,50.67
2011-05-12,51.06,51.63,50.68,51.43,655000,51.33
2011-05-11,51.73,51.76,50.91,51.17,402800,51.07
2011-05-10,51.01,51.93,51.01,51.76,594500,51.66
2011-05-09,50.64,51.19,50.31,51.04,587300,50.94
