Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,119.61,120.66,118.11,120.51,2092700,120.51
2011-07-28,119.48,121.76,118.34,120.64,1505200,120.64
2011-07-27,121.83,122.29,119.04,119.21,1900800,119.21
2011-07-26,120.76,123.48,120.27,122.39,1684600,122.39
2011-07-25,120.30,121.15,119.82,120.47,1109900,120.47
2011-07-22,121.40,122.07,120.65,121.85,966400,121.85
2011-07-21,121.28,121.94,120.62,121.27,1471200,121.27
2011-07-20,120.99,120.99,119.79,120.50,1268200,120.50
2011-07-19,118.33,120.41,118.05,120.23,1660800,120.23
2011-07-18,118.58,118.65,116.75,117.86,1295000,117.86
2011-07-15,117.89,118.83,117.08,118.79,1258400,118.79
2011-07-14,118.68,119.00,117.17,117.52,1139300,117.52
2011-07-13,119.61,120.10,118.16,118.18,1440700,118.18
2011-07-12,118.60,120.88,118.60,119.25,1275300,119.25
2011-07-11,119.86,120.21,118.90,119.16,1180000,119.16
2011-07-08,120.30,121.36,119.54,121.17,1188900,121.17
2011-07-07,121.08,121.70,120.38,121.58,1587600,121.58
2011-07-06,118.75,120.39,118.36,120.23,1628100,120.23
2011-07-05,118.55,119.49,117.90,119.24,1555100,119.24
2011-07-01,115.98,118.68,115.89,118.57,1549700,118.57
2011-06-30,115.86,116.58,114.91,116.23,1804700,116.23
2011-06-29,114.58,115.95,114.05,115.74,1266500,115.74
2011-06-28,114.10,114.33,113.10,114.04,1576300,114.04
2011-06-27,112.83,113.98,112.37,113.76,1154100,113.76
2011-06-24,111.98,113.01,111.47,112.44,2045000,112.44
2011-06-23,112.73,112.82,110.29,111.98,2390200,111.98
2011-06-22,114.46,115.60,114.14,114.22,1239600,114.22
2011-06-21,115.74,115.87,114.20,114.96,1430900,114.96
2011-06-20,113.46,115.41,113.30,115.06,1190500,115.06
2011-06-17,113.64,114.22,112.84,114.00,2520100,114.00
2011-06-16,111.11,112.92,110.85,112.54,2201200,112.54
2011-06-15,112.49,112.79,110.31,111.38,1871800,111.38
2011-06-14,112.95,113.52,112.01,113.39,2009200,113.39
2011-06-13,110.99,112.39,110.10,111.63,1650200,111.63
2011-06-10,113.05,113.54,110.73,110.89,2494200,110.89
2011-06-09,115.19,115.41,113.16,113.59,1883800,113.59
2011-06-08,114.57,115.78,114.47,114.87,1531200,114.87
2011-06-07,114.35,116.36,113.94,114.99,1600700,114.99
2011-06-06,115.18,115.55,113.90,113.90,1296400,113.90
2011-06-03,113.08,116.11,113.08,115.33,1554500,115.33
2011-06-02,115.19,116.26,114.42,114.43,1641500,114.43
2011-06-01,117.98,117.98,114.89,115.21,2485200,115.21
2011-05-31,117.21,118.10,116.60,118.06,2439600,118.06
2011-05-27,116.06,116.50,115.28,116.25,1082000,116.25
2011-05-26,114.04,116.08,113.48,115.69,1334700,115.69
2011-05-25,113.76,114.99,113.03,114.47,1389000,114.47
