Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,55.33,56.03,55.23,56.02,2103400,56.02
2011-07-18,55.01,55.26,54.83,55.08,1689300,55.08
2011-07-15,55.24,55.27,54.59,55.26,2743500,55.26
2011-07-14,55.40,55.55,54.70,55.09,2322800,55.09
2011-07-13,55.48,55.83,55.00,55.27,2745000,55.27
2011-07-12,55.22,55.67,55.07,55.21,3383700,55.21
2011-07-11,54.72,55.94,54.64,55.44,4332800,55.44
2011-07-08,54.78,55.37,54.73,55.16,3571600,55.16
2011-07-07,55.06,55.80,54.72,54.99,4191800,54.99
2011-07-06,53.70,54.19,53.56,53.79,2517500,53.79
2011-07-05,53.24,53.97,52.92,53.73,2824900,53.73
2011-07-01,52.49,53.28,52.34,53.17,2328900,53.17
2011-06-30,53.01,53.36,52.26,52.53,2931900,52.53
2011-06-29,51.72,52.63,51.47,52.01,3898800,52.01
2011-06-28,51.23,51.58,50.89,51.54,3620000,51.54
2011-06-27,49.82,50.38,49.63,50.03,3135400,50.03
2011-06-24,51.01,51.13,49.66,49.72,3862700,49.72
2011-06-23,50.54,51.54,50.36,51.08,3561100,51.08
2011-06-22,50.87,51.58,50.80,51.01,5010200,51.01
2011-06-21,50.51,51.12,50.16,51.07,3705800,51.07
2011-06-20,49.91,50.63,49.50,50.38,3077900,50.38
2011-06-17,49.91,50.67,49.70,50.06,4266500,50.06
2011-06-16,49.66,49.93,49.25,49.58,3064800,49.58
2011-06-15,49.25,50.06,49.20,49.55,4958600,49.55
2011-06-14,49.87,50.00,49.57,49.59,4364600,49.59
2011-06-13,49.50,49.86,49.49,49.50,2330800,49.50
2011-06-10,50.29,50.36,49.46,49.49,3036600,49.49
2011-06-09,50.29,50.82,50.29,50.43,2487500,50.43
2011-06-08,50.34,50.57,50.04,50.21,2926300,50.21
2011-06-07,50.63,51.37,50.29,50.51,3465400,50.51
2011-06-06,51.00,51.28,50.29,50.31,3062500,50.31
2011-06-03,50.97,51.36,50.82,51.02,4035300,51.02
2011-06-02,50.88,51.61,50.64,51.33,5014400,51.33
2011-06-01,52.89,53.15,51.96,52.00,4494100,52.00
2011-05-31,53.60,53.75,52.46,53.02,5390500,53.02
2011-05-27,53.67,53.96,53.39,53.46,2072500,53.46
2011-05-26,52.55,53.89,52.42,53.69,3816900,53.69
2011-05-25,52.62,53.05,52.33,52.62,3149500,52.62
2011-05-24,52.91,54.02,52.82,52.93,2962500,52.93
2011-05-23,52.18,53.29,52.15,52.77,3412900,52.77
2011-05-20,51.90,52.77,51.37,52.62,3615800,52.62
2011-05-19,52.71,52.71,51.83,52.15,3129600,52.15
2011-05-18,52.20,53.23,52.18,52.66,3888200,52.66
2011-05-17,52.75,53.25,51.58,52.06,7796200,52.06
2011-05-16,54.53,54.80,54.19,54.31,2895100,54.31
2011-05-13,54.79,54.94,54.28,54.57,2263800,54.57
2011-05-12,53.77,54.73,53.28,54.68,3269000,54.68
2011-05-11,53.46,53.86,53.04,53.42,1944900,53.42
2011-05-10,52.97,53.77,52.96,53.53,2528300,53.53
2011-05-09,52.70,53.45,52.61,53.16,2387100,52.97
2011-05-06,53.65,53.84,52.63,52.72,3189200,52.53
2011-05-05,52.27,53.67,52.25,53.37,5279200,53.18
2011-05-04,53.25,53.88,52.99,53.26,2818500,53.07
2011-05-03,53.22,53.88,53.12,53.20,2995700,53.01
2011-05-02,53.73,53.87,53.00,53.31,1812800,53.12
2011-04-29,53.69,54.00,53.54,53.62,2746200,53.43
2011-04-28,53.10,53.75,52.86,53.72,2023900,53.53
2011-04-27,53.11,53.46,52.86,53.29,2119800,53.10
2011-04-26,52.83,53.59,52.77,53.17,2003900,52.98
2011-04-25,52.43,52.68,52.19,52.63,1339000,52.44
2011-04-21,52.54,52.65,52.14,52.55,1306300,52.36
2011-04-20,51.91,52.61,51.77,52.31,2549400,52.12
2011-04-19,51.73,51.93,51.35,51.78,2142000,51.59
2011-04-18,50.94,51.81,50.66,51.72,2708400,51.54
2011-04-15,51.00,51.60,50.74,51.42,2632200,51.24
2011-04-14,50.98,51.16,50.49,51.13,1672800,50.95
2011-04-13,51.13,51.50,50.64,51.26,1558100,51.08
2011-04-12,50.69,51.57,50.69,51.06,1935900,50.88
2011-04-11,50.64,51.24,50.58,51.09,1705800,50.91
2011-04-08,51.47,51.48,50.43,50.70,2410900,50.52
2011-04-07,51.13,51.95,50.49,51.12,3153700,50.94
2011-04-06,51.00,51.60,50.79,51.55,3828600,51.37
2011-04-05,49.59,51.00,49.53,50.97,4563200,50.79
2011-04-04,49.60,49.84,49.31,49.60,1782600,49.42
2011-04-01,49.92,50.05,49.41,49.50,2400400,49.32
2011-03-31,49.97,50.23,49.25,49.73,3345100,49.55
2011-03-30,49.69,50.27,49.48,50.09,2236500,49.91
2011-03-29,49.15,49.55,48.94,49.48,1890200,49.30
2011-03-28,50.10,50.24,49.18,49.21,2579500,49.03
2011-03-25,50.29,50.62,50.12,50.15,1678100,49.97
2011-03-24,49.66,50.51,49.66,50.32,2447500,50.14
2011-03-23,48.78,49.66,48.56,49.54,2165300,49.36
2011-03-22,49.35,49.55,48.83,48.86,2347000,48.69
2011-03-21,49.05,49.33,48.59,49.27,2207600,49.09
2011-03-18,49.16,49.16,48.25,48.66,3520600,48.49
2011-03-17,49.17,49.36,48.57,48.67,1996800,48.50
2011-03-16,48.86,49.27,48.32,48.59,3409400,48.42
2011-03-15,48.51,49.39,48.49,49.08,3588200,48.90
2011-03-14,49.64,49.91,49.10,49.38,2497900,49.20
2011-03-11,49.38,50.00,49.13,49.77,1576100,49.59
2011-03-10,49.31,49.89,49.14,49.47,1979000,49.29
2011-03-09,49.53,49.84,49.34,49.59,1983000,49.41
2011-03-08,49.48,49.87,49.11,49.51,3742400,49.33
2011-03-07,50.65,50.68,49.31,49.32,3647300,49.14
2011-03-04,50.80,51.10,50.15,50.58,2756600,50.40
2011-03-03,50.50,51.11,50.33,50.94,5543100,50.76
2011-03-02,49.48,50.50,49.43,50.47,3166100,50.29
2011-03-01,50.46,50.48,49.47,49.62,3935400,49.44
2011-02-28,50.21,50.30,49.74,49.87,3757800,49.69
2011-02-25,50.25,50.89,49.83,50.33,3248700,50.15
2011-02-24,48.90,50.47,48.90,50.24,5588200,50.06
2011-02-23,48.20,49.96,47.84,48.81,6021600,48.64
2011-02-22,49.73,50.24,49.36,49.72,2797000,49.54
2011-02-18,49.33,50.11,49.29,50.08,2273000,49.90
2011-02-17,49.34,49.51,49.11,49.20,2616200,49.02
2011-02-16,49.60,50.00,49.36,49.42,2487500,49.24
2011-02-15,49.51,49.97,49.17,49.30,2196900,49.12
2011-02-14,50.15,50.35,49.49,49.54,2390800,49.36
