Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,4.05,4.33,4.01,4.14,9091900,4.14
2011-07-28,4.23,4.24,4.03,4.04,6481800,4.04
2011-07-27,4.55,4.57,4.22,4.23,8526100,4.23
2011-07-26,4.19,4.68,4.16,4.65,12361400,4.65
2011-07-25,4.24,4.26,4.17,4.19,6190400,4.19
2011-07-22,4.41,4.44,4.30,4.33,3879200,4.33
2011-07-21,4.29,4.47,4.24,4.39,4987900,4.39
2011-07-20,4.21,4.32,4.16,4.30,4365900,4.30
2011-07-19,4.03,4.19,4.02,4.18,5132700,4.18
2011-07-18,4.10,4.12,3.98,4.01,8393300,4.01
2011-07-15,4.20,4.25,4.11,4.12,2857300,4.12
2011-07-14,4.25,4.27,4.16,4.19,3858800,4.19
2011-07-13,4.22,4.29,4.20,4.25,4541400,4.25
2011-07-12,4.23,4.34,4.17,4.21,3553700,4.21
2011-07-11,4.41,4.41,4.19,4.20,6798200,4.20
2011-07-08,4.48,4.50,4.44,4.45,2850800,4.45
2011-07-07,4.50,4.58,4.44,4.52,5404200,4.52
2011-07-06,4.53,4.56,4.47,4.48,6075700,4.48
2011-07-05,4.63,4.65,4.52,4.53,4870200,4.53
2011-07-01,4.61,4.66,4.59,4.63,3439400,4.63
2011-06-30,4.51,4.63,4.49,4.61,4921500,4.61
2011-06-29,4.39,4.50,4.35,4.49,3853200,4.49
2011-06-28,4.42,4.44,4.36,4.40,7355500,4.40
2011-06-27,4.42,4.46,4.36,4.41,7196500,4.41
2011-06-24,4.37,4.52,4.32,4.45,6288700,4.45
2011-06-23,4.35,4.45,4.27,4.40,6878500,4.40
2011-06-22,4.28,4.43,4.28,4.41,7201500,4.41
2011-06-21,4.08,4.34,4.04,4.31,8667100,4.31
2011-06-20,4.06,4.09,4.03,4.05,2906600,4.05
2011-06-17,4.16,4.19,4.04,4.07,8799600,4.07
2011-06-16,4.12,4.16,4.08,4.11,5858400,4.11
2011-06-15,4.10,4.16,4.06,4.12,4270100,4.12
2011-06-14,4.04,4.17,4.04,4.14,9376000,4.14
2011-06-13,4.05,4.08,3.98,4.00,4453000,4.00
2011-06-10,4.04,4.08,4.00,4.04,5861500,4.04
2011-06-09,4.06,4.11,4.04,4.04,4486800,4.04
2011-06-08,4.16,4.19,4.09,4.09,5267300,4.09
2011-06-07,4.19,4.22,4.13,4.18,5448100,4.18
2011-06-06,4.31,4.39,4.15,4.16,8984600,4.16
2011-06-03,4.40,4.46,4.33,4.33,5924400,4.33
2011-06-02,4.50,4.54,4.42,4.43,9987300,4.43
2011-06-01,4.57,4.60,4.50,4.52,8235200,4.52
2011-05-31,4.54,4.58,4.50,4.57,6834900,4.57
2011-05-27,4.48,4.51,4.45,4.49,6060600,4.49
2011-05-26,4.54,4.54,4.45,4.45,7160300,4.45
2011-05-25,4.55,4.55,4.50,4.55,3952100,4.55
2011-05-24,4.59,4.63,4.55,4.55,4341200,4.55
2011-05-23,4.59,4.63,4.56,4.58,4600000,4.58
2011-05-20,4.70,4.70,4.63,4.65,2668700,4.65
2011-05-19,4.60,4.72,4.55,4.70,7999000,4.70
2011-05-18,4.54,4.59,4.51,4.56,3830800,4.56
2011-05-17,4.60,4.62,4.53,4.53,5659400,4.53
2011-05-16,4.70,4.73,4.62,4.63,6238200,4.63
2011-05-13,4.76,4.81,4.70,4.72,4468700,4.72
2011-05-12,4.72,4.82,4.67,4.78,5100000,4.78
2011-05-11,4.79,4.80,4.70,4.71,3400000,4.71
2011-05-10,4.67,4.79,4.66,4.75,4275600,4.73
2011-05-09,4.69,4.70,4.65,4.67,4374700,4.65
2011-05-06,4.75,4.77,4.67,4.69,4051400,4.67
2011-05-05,4.71,4.86,4.67,4.68,5207000,4.66
2011-05-04,4.72,4.76,4.65,4.74,7025600,4.72
2011-05-03,4.70,4.74,4.65,4.68,6900000,4.66
2011-05-02,4.93,4.95,4.70,4.70,8655100,4.68
2011-04-29,4.94,4.99,4.82,4.90,7053400,4.88
2011-04-28,4.80,4.96,4.77,4.92,9400000,4.90
2011-04-27,4.90,4.91,4.60,4.81,15877200,4.79
2011-04-26,5.21,5.26,4.90,4.90,25000000,4.88
2011-04-25,5.47,5.47,5.34,5.39,6440000,5.37
2011-04-21,5.38,5.47,5.36,5.47,3988000,5.45
2011-04-20,5.32,5.44,5.29,5.35,7221300,5.33
2011-04-19,5.00,5.27,5.00,5.27,6777300,5.25
2011-04-18,5.07,5.10,5.00,5.01,4183300,4.99
2011-04-15,5.16,5.19,5.09,5.13,2616800,5.11
2011-04-14,5.12,5.17,5.05,5.15,3995800,5.13
2011-04-13,5.24,5.24,5.12,5.16,3416700,5.14
2011-04-12,5.09,5.14,5.06,5.08,2769500,5.06
2011-04-11,5.19,5.24,5.11,5.11,3267300,5.09
2011-04-08,5.28,5.33,5.18,5.19,2719000,5.17
