Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,62.82,63.76,62.76,63.53,2676700,63.53
2011-07-18,62.85,63.45,61.87,62.50,1599700,62.50
2011-07-15,62.55,63.36,62.55,63.22,2782200,63.22
2011-07-14,62.80,63.08,61.93,62.34,2888100,62.34
2011-07-13,62.74,63.16,62.41,62.51,2332100,62.51
2011-07-12,62.36,63.35,62.06,62.49,2468600,62.49
2011-07-11,64.13,64.22,62.66,62.76,2405100,62.76
2011-07-08,64.73,64.96,64.18,64.78,1688600,64.78
2011-07-07,65.68,65.68,65.08,65.57,2150600,65.57
2011-07-06,64.96,65.45,64.85,65.25,1105100,65.25
2011-07-05,65.03,65.18,64.43,64.98,1927100,64.98
2011-07-01,64.53,65.03,64.32,65.01,2672200,65.01
2011-06-30,64.21,64.73,63.96,64.39,1922300,64.39
2011-06-29,64.57,64.67,63.76,64.07,1898400,64.07
2011-06-28,63.47,64.59,63.13,64.30,2871300,64.30
2011-06-27,62.40,63.49,62.08,63.32,1983800,63.32
2011-06-24,63.44,63.44,62.22,62.51,2315600,62.51
2011-06-23,62.88,63.56,62.22,63.56,2416300,63.56
2011-06-22,63.48,64.40,63.48,63.70,1867800,63.70
2011-06-21,62.98,64.19,62.74,63.98,1778100,63.98
2011-06-20,61.93,62.88,61.65,62.80,1738200,62.80
2011-06-17,61.14,62.41,61.14,62.22,3908100,62.22
2011-06-16,61.24,61.90,60.49,60.68,2933800,60.68
2011-06-15,62.61,62.93,61.28,61.33,3180000,61.33
2011-06-14,62.77,63.55,62.77,63.09,1473100,63.09
2011-06-13,62.39,62.99,62.19,62.39,1949800,62.39
2011-06-10,63.17,63.30,62.79,62.84,2129300,62.84
2011-06-09,62.58,63.87,62.45,63.53,2338900,63.53
2011-06-08,62.33,62.73,62.17,62.54,1851400,62.54
2011-06-07,62.87,63.64,62.49,62.49,2174600,62.49
2011-06-06,62.82,63.20,62.28,62.30,1970200,62.30
2011-06-03,62.90,63.54,62.09,62.80,2841300,62.80
2011-06-02,64.02,64.17,63.26,63.78,3186200,63.78
2011-06-01,65.45,65.50,63.77,63.86,2855000,63.86
2011-05-31,65.64,65.86,65.02,65.45,3408600,65.45
2011-05-27,65.33,65.41,64.91,65.15,1857500,65.15
2011-05-26,64.15,65.68,63.90,65.31,3528000,65.31
2011-05-25,64.09,64.65,64.09,64.19,3887000,64.19
2011-05-24,64.38,64.66,64.20,64.49,2643300,64.49
2011-05-23,64.72,65.08,63.77,64.39,3271600,64.39
2011-05-20,65.47,65.55,64.62,65.18,3597300,65.18
2011-05-19,65.00,65.82,64.95,65.38,6890700,65.38
2011-05-18,62.05,63.29,61.98,62.74,4472700,62.74
2011-05-17,62.05,62.07,61.16,61.88,1944300,61.88
2011-05-16,61.88,62.65,61.50,62.31,3137500,62.31
2011-05-13,61.83,62.40,61.27,61.91,2812600,61.91
2011-05-12,61.17,61.90,60.87,61.67,2046100,61.67
2011-05-11,61.11,61.58,60.88,61.34,2362800,61.34
2011-05-10,61.22,61.38,60.86,61.08,2725400,61.08
2011-05-09,60.45,60.83,60.03,60.77,1268400,60.77
2011-05-06,60.40,60.83,60.09,60.36,2739800,60.36
2011-05-05,60.30,60.45,59.53,59.72,2719200,59.72
2011-05-04,60.46,60.94,60.05,60.45,2731200,60.45
2011-05-03,61.28,61.45,60.35,60.64,2281900,60.64
2011-05-02,60.25,61.72,60.25,61.25,3058400,61.25
2011-04-29,60.04,60.37,59.85,59.99,3276800,59.99
2011-04-28,59.44,60.21,59.41,60.16,3015800,60.16
2011-04-27,59.11,60.25,59.05,59.80,5677200,59.80
2011-04-26,57.01,58.90,57.01,58.08,5100000,58.08
2011-04-25,56.71,56.90,56.37,56.86,1762000,56.86
2011-04-21,56.22,56.96,56.08,56.90,1929200,56.90
2011-04-20,55.44,56.09,55.36,55.97,1992500,55.97
2011-04-19,54.61,54.79,54.12,54.70,2159000,54.70
2011-04-18,55.26,55.26,54.26,54.60,2777800,54.60
2011-04-15,55.06,56.02,55.00,55.75,2940500,55.75
2011-04-14,55.07,55.12,54.40,54.87,2064800,54.87
2011-04-13,55.02,55.74,54.80,55.40,2354400,55.40
2011-04-12,55.74,56.03,55.18,55.44,1748300,55.44
2011-04-11,56.00,56.07,55.62,55.98,2202700,55.98
2011-04-08,55.75,55.92,55.49,55.81,2133800,55.81
2011-04-07,55.38,55.80,55.12,55.63,3120500,55.63
2011-04-06,55.09,55.61,55.04,55.53,2601700,55.53
2011-04-05,55.39,55.83,54.83,54.92,3896300,54.92
2011-04-04,56.61,56.61,55.61,55.85,2511100,55.85
2011-04-01,55.66,56.35,55.59,55.98,3136300,55.98
2011-03-31,54.87,55.60,54.55,55.55,3493700,55.55
2011-03-30,54.81,54.97,54.48,54.91,3802900,54.91
2011-03-29,54.07,54.66,53.88,54.63,2071900,54.63
2011-03-28,54.51,54.73,54.14,54.22,1577500,54.22
2011-03-25,54.19,54.50,53.85,54.39,2206100,54.39
2011-03-24,54.13,54.21,53.50,54.19,2560700,54.19
2011-03-23,53.71,53.77,53.30,53.49,3475600,53.49
2011-03-22,53.66,54.13,53.66,53.95,2363800,53.95
2011-03-21,53.13,54.17,53.04,53.75,3441000,53.75
2011-03-18,53.11,53.21,52.41,52.58,5537600,52.58
2011-03-17,53.59,53.86,52.45,52.62,4918900,52.62
