Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,72.62,74.05,71.76,73.31,2668700,73.31
2011-07-28,76.48,76.48,73.17,73.43,3573000,73.43
2011-07-27,77.38,77.74,77.09,77.10,1577700,77.10
2011-07-26,78.31,78.67,77.73,77.95,1348700,77.95
2011-07-25,77.98,78.73,77.82,78.45,1167400,78.45
2011-07-22,78.15,78.92,78.15,78.78,1051800,78.78
2011-07-21,77.21,79.05,77.12,78.41,1422800,78.41
2011-07-20,77.25,77.46,76.53,76.58,968700,76.58
2011-07-19,76.88,77.32,76.60,77.23,1753300,77.23
2011-07-18,76.97,77.34,75.93,76.30,1705200,76.30
2011-07-15,77.76,77.76,76.61,77.29,1508500,77.29
2011-07-14,77.79,78.42,76.89,77.46,1432800,77.46
2011-07-13,78.26,79.06,77.70,77.88,1008500,77.88
2011-07-12,77.59,78.43,77.44,77.81,1268400,77.81
2011-07-11,78.34,79.24,77.50,77.83,1173000,77.83
2011-07-08,79.10,79.36,78.57,79.24,1631700,79.24
2011-07-07,80.55,80.86,79.99,79.99,1491900,79.99
2011-07-06,79.89,80.00,79.39,79.63,2579600,79.63
2011-07-05,79.48,80.85,79.01,79.97,2214300,79.97
2011-07-01,78.05,79.58,77.30,79.50,1665000,79.50
2011-06-30,77.83,78.25,77.66,78.04,1885100,78.04
2011-06-29,77.86,78.00,77.14,77.40,1930300,77.40
2011-06-28,76.53,77.71,76.17,77.66,1662900,77.66
2011-06-27,74.64,76.50,74.23,76.31,1823600,76.31
2011-06-24,74.52,74.94,73.94,74.50,4106500,74.50
2011-06-23,74.47,74.91,73.84,74.52,2681000,74.52
2011-06-22,75.52,76.08,75.40,75.48,1575900,75.48
2011-06-21,74.89,76.22,74.60,75.93,2106100,75.93
2011-06-20,74.19,74.83,73.81,74.40,1609700,74.40
2011-06-17,73.83,75.26,73.57,74.64,3119400,74.64
2011-06-16,73.76,74.15,72.77,73.18,2345900,73.18
2011-06-15,74.36,75.28,73.83,73.88,2499100,73.88
2011-06-14,74.45,75.36,74.45,75.00,2120400,75.00
2011-06-13,73.92,74.34,73.67,73.72,1252000,73.72
2011-06-10,75.26,75.43,73.75,73.81,2689600,73.81
2011-06-09,74.78,75.86,74.54,75.61,1942800,75.61
2011-06-08,75.63,76.28,74.81,74.90,1614800,74.90
2011-06-07,75.50,76.47,75.36,75.61,1699800,75.61
2011-06-06,75.67,75.87,75.14,75.20,1076100,75.20
2011-06-03,76.06,76.56,75.64,75.80,1990700,75.80
2011-06-02,76.34,77.27,76.32,77.00,1585000,77.00
2011-06-01,76.95,77.38,76.32,76.43,1743800,76.43
2011-05-31,77.76,78.35,77.02,77.22,2844400,77.22
2011-05-27,76.61,77.90,76.46,77.29,1417100,77.29
2011-05-26,75.69,76.66,75.16,76.31,1951400,76.31
2011-05-25,76.11,76.42,75.79,76.11,2002100,75.63
2011-05-24,77.75,77.90,76.31,76.56,1997300,76.08
2011-05-23,77.09,77.71,76.75,77.64,1960700,77.15
2011-05-20,77.12,78.43,76.86,77.99,2020900,77.50
2011-05-19,77.73,77.73,76.90,77.32,2151200,76.83
2011-05-18,76.49,78.07,76.22,77.63,2414700,77.14
2011-05-17,76.37,76.96,75.43,76.57,1992300,76.09
2011-05-16,76.90,77.21,76.41,76.55,1475600,76.07
2011-05-13,78.02,78.41,76.82,77.26,1406100,76.77
2011-05-12,78.39,78.54,77.70,78.07,1979900,77.58
2011-05-11,78.04,78.55,77.73,78.45,1876500,77.96
2011-05-10,77.05,78.65,77.04,78.46,1329100,77.97
2011-05-09,76.83,77.38,76.28,76.99,1196800,76.50
2011-05-06,76.55,77.33,76.29,76.71,1783400,76.23
2011-05-05,76.68,76.97,75.59,75.89,2192100,75.41
2011-05-04,76.38,77.21,75.41,77.07,2622700,76.58
2011-05-03,77.66,77.86,76.04,76.41,3622000,75.93
2011-05-02,78.30,79.21,77.71,77.90,2344900,77.41
2011-04-29,76.50,78.26,76.28,78.13,2629200,77.64
2011-04-28,74.52,76.40,74.52,76.26,2448500,75.78
2011-04-27,75.00,75.57,74.29,75.31,2203200,74.84
2011-04-26,74.82,75.42,74.32,74.96,2600000,74.49
2011-04-25,73.78,74.76,73.65,74.63,1156700,74.16
2011-04-21,73.85,74.01,73.35,74.00,1476300,73.53
2011-04-20,73.27,73.77,73.19,73.39,2003700,72.93
2011-04-19,72.45,72.62,71.93,72.41,1413600,71.95
