Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,68.64,69.68,68.36,69.22,6221100,69.22
2011-07-28,70.21,70.60,68.97,69.14,7355600,69.14
2011-07-27,71.14,71.18,69.91,70.21,7097100,70.21
2011-07-26,72.34,72.39,69.62,71.59,12590500,71.59
2011-07-25,73.56,74.39,73.23,74.05,3452300,74.05
2011-07-22,74.24,74.67,73.96,74.16,2886800,74.16
2011-07-21,73.84,74.99,73.77,74.40,4600800,74.40
2011-07-20,73.47,73.74,73.15,73.52,2692300,73.52
2011-07-19,72.84,73.52,72.71,73.40,3096000,73.40
2011-07-18,72.91,73.00,72.14,72.42,3337600,72.42
2011-07-15,73.65,73.65,72.33,73.08,4210000,73.08
2011-07-14,73.41,74.02,72.96,73.36,3552200,73.36
2011-07-13,73.65,74.15,73.21,73.42,2704700,73.42
2011-07-12,73.50,74.07,73.17,73.25,3836900,73.25
2011-07-11,74.15,74.16,73.21,73.74,3704100,73.74
2011-07-08,74.79,74.95,74.13,74.57,4053100,74.57
2011-07-07,74.92,75.80,74.60,75.37,4707200,75.37
2011-07-06,73.75,74.98,73.73,74.50,4803500,74.50
2011-07-05,74.00,74.00,73.36,73.78,2834400,73.78
2011-07-01,73.09,74.12,72.90,73.96,3674300,73.96
2011-06-30,72.30,73.18,72.16,72.93,4070000,72.93
2011-06-29,72.36,72.48,71.56,71.98,3857200,71.98
2011-06-28,71.62,72.29,71.47,72.05,3440200,72.05
2011-06-27,71.15,71.61,70.86,71.44,2932700,71.44
2011-06-24,71.25,71.49,70.51,71.12,4743900,71.12
2011-06-23,70.19,71.53,70.11,71.32,5557400,71.32
2011-06-22,71.18,71.75,71.08,71.11,5037100,71.11
2011-06-21,69.78,70.87,69.70,70.65,4478600,70.65
2011-06-20,68.95,69.77,68.80,69.30,3058400,69.30
2011-06-17,69.64,69.83,69.17,69.17,5584200,69.17
2011-06-16,69.01,69.58,68.62,69.05,4450200,69.05
2011-06-15,68.79,69.30,68.48,69.11,5497300,69.11
2011-06-14,69.24,69.59,68.80,69.21,4270600,69.21
2011-06-13,68.42,68.88,68.27,68.46,4534800,68.46
2011-06-10,69.05,69.29,68.13,68.50,4866900,68.50
2011-06-09,69.56,69.71,69.25,69.29,4299600,69.29
2011-06-08,69.46,69.81,69.02,69.26,4896600,69.26
2011-06-07,70.35,70.54,69.69,69.75,4596400,69.75
2011-06-06,70.94,71.17,70.12,70.36,3988800,70.36
2011-06-03,71.76,71.76,70.84,71.15,5370200,71.15
2011-06-02,72.60,72.99,71.87,72.32,4694800,72.32
2011-06-01,73.51,73.68,72.26,72.30,6098900,72.30
2011-05-31,73.27,73.83,73.14,73.49,4642000,73.49
2011-05-27,73.34,73.42,72.74,72.96,2702200,72.96
2011-05-26,72.60,73.30,72.29,72.97,4098800,72.97
2011-05-25,72.80,73.04,72.59,72.80,4145200,72.80
2011-05-24,73.55,73.58,72.71,72.91,3790300,72.91
2011-05-23,73.37,73.65,72.70,73.50,4397400,73.50
2011-05-20,74.07,74.39,73.95,74.05,4704800,74.05
2011-05-19,74.00,74.65,73.96,74.30,3354900,74.30
2011-05-18,73.41,74.06,72.93,73.84,3114300,73.84
2011-05-17,73.59,73.74,73.02,73.42,4723300,73.42
2011-05-16,74.00,74.30,73.63,73.80,3810400,73.80
2011-05-13,74.43,74.71,73.79,74.14,3773000,74.14
2011-05-12,74.28,74.43,73.69,74.34,3793500,74.34
2011-05-11,74.50,74.95,74.22,74.65,4816300,74.13
2011-05-10,73.86,74.71,73.86,74.37,2871700,73.85
2011-05-09,74.01,74.06,73.58,73.70,3403200,73.19
2011-05-06,74.90,74.95,74.00,74.10,3976200,73.58
2011-05-05,73.75,74.93,73.58,73.96,5406300,73.44
2011-05-04,74.97,75.24,73.74,74.25,4214700,73.73
2011-05-03,74.66,75.24,74.50,75.09,3481700,74.57
2011-05-02,75.34,75.58,74.50,74.87,2452700,74.35
2011-04-29,74.85,75.34,74.62,74.97,4400000,74.45
2011-04-28,73.99,74.99,73.99,74.81,2885200,74.29
2011-04-27,74.64,74.65,73.68,74.27,3410700,73.75
2011-04-26,74.92,75.00,74.04,74.30,4294800,73.78
2011-04-25,73.08,74.09,72.82,73.64,3831100,73.13
2011-04-21,72.98,73.50,72.78,73.17,2613600,72.66
2011-04-20,72.75,73.42,72.39,72.71,3003300,72.20
2011-04-19,71.85,72.15,71.69,71.98,2705300,71.48
2011-04-18,71.81,72.04,71.48,71.92,3448700,71.42
2011-04-15,72.60,72.96,72.35,72.71,3606700,72.20
2011-04-14,72.29,72.97,72.12,72.41,3412500,71.91
2011-04-13,73.46,73.52,72.32,72.61,3639300,72.10
2011-04-12,72.76,73.85,72.76,73.23,3184300,72.72
2011-04-11,73.13,73.30,72.55,73.21,3487800,72.70
2011-04-08,74.11,74.13,72.84,73.25,4208900,72.74
2011-04-07,74.24,74.41,73.69,74.00,2652000,73.48
2011-04-06,74.30,74.61,73.95,74.47,2703900,73.95
2011-04-05,74.43,74.88,74.07,74.15,2842400,73.63
2011-04-04,74.59,74.85,74.40,74.74,2306900,74.22
2011-04-01,74.99,75.14,74.28,74.48,3620300,73.96
2011-03-31,74.36,74.95,74.24,74.32,3307900,73.80
2011-03-30,74.16,74.90,73.95,74.50,3960700,73.98
2011-03-29,73.29,73.90,73.09,73.85,2472600,73.34
2011-03-28,72.26,74.06,72.26,73.52,4499600,73.01
2011-03-25,72.14,72.59,71.99,72.04,3459600,71.54
2011-03-24,71.81,72.14,71.60,72.10,3982600,71.60
2011-03-23,71.66,71.91,71.34,71.62,4445500,71.12
2011-03-22,72.79,72.92,71.85,72.05,3932800,71.55
2011-03-21,72.57,73.40,72.34,72.84,3825300,72.33
2011-03-18,72.58,72.60,71.28,71.60,5949600,71.10
2011-03-17,72.61,72.80,71.16,71.61,8259800,71.11
2011-03-16,71.76,71.78,70.21,70.38,7607300,69.89
2011-03-15,71.90,72.28,71.43,71.81,5519100,71.31
2011-03-14,73.34,73.61,72.30,73.19,4789700,72.68
2011-03-11,73.00,74.52,73.00,74.09,4736900,73.57
2011-03-10,72.36,73.77,72.25,73.11,4873500,72.60
2011-03-09,72.47,73.54,72.03,73.25,4058300,72.74
