Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,88.49,89.27,88.20,89.21,5398700,89.21
2011-07-18,88.32,88.90,87.71,88.07,3378800,88.07
2011-07-15,88.69,88.88,87.71,88.75,3999500,88.75
2011-07-14,88.25,89.39,87.78,87.94,4302900,87.94
2011-07-13,88.14,89.96,88.02,88.74,4713900,88.74
2011-07-12,88.02,88.80,87.59,87.70,4605300,87.70
2011-07-11,88.61,89.24,87.68,87.90,6433400,87.90
2011-07-08,88.97,90.15,88.40,89.73,5204700,89.73
2011-07-07,88.20,90.83,88.00,90.15,12131000,90.15
2011-07-06,87.84,89.23,86.85,88.20,8403800,88.20
2011-07-05,86.96,88.80,86.34,88.32,8272400,88.32
2011-07-01,84.10,88.93,83.76,87.97,15435600,87.97
2011-06-30,86.13,87.36,83.93,84.26,29970100,84.26
2011-06-29,75.92,87.32,74.79,86.57,33008000,86.57
2011-06-28,74.28,75.45,74.21,75.28,5824400,75.28
2011-06-27,73.79,74.05,73.11,73.89,5220000,73.89
2011-06-24,75.31,75.35,73.33,73.37,9925200,73.37
2011-06-23,74.19,75.40,74.00,75.31,5001200,75.31
2011-06-22,74.94,75.97,74.57,74.66,4430500,74.66
2011-06-21,74.56,75.19,74.15,74.99,6323800,74.99
2011-06-20,74.28,74.34,73.64,74.05,5636700,74.05
2011-06-17,75.41,75.49,74.20,74.43,6464800,74.43
2011-06-16,74.80,75.38,74.38,74.88,5260400,74.88
2011-06-15,75.54,76.03,74.81,74.84,5693900,74.84
2011-06-14,75.11,76.27,74.83,75.93,7508400,75.93
2011-06-13,74.85,75.14,74.30,74.86,5205000,74.86
2011-06-10,76.21,76.31,74.55,74.69,7364200,74.69
2011-06-09,76.28,76.73,75.88,76.43,8018500,76.43
2011-06-08,78.69,78.69,74.37,76.71,20196300,76.71
2011-06-07,78.80,80.13,78.52,79.82,6941200,79.82
2011-06-06,79.00,79.57,78.15,78.20,4407000,78.20
2011-06-03,79.81,80.36,78.96,79.13,4738600,79.13
2011-06-02,79.19,80.82,79.15,80.70,4866600,80.70
2011-06-01,80.76,80.76,79.18,79.18,4433200,79.18
2011-05-31,80.02,81.11,80.01,81.06,3818600,81.06
2011-05-27,78.66,79.84,78.37,79.80,3836200,79.80
2011-05-26,78.57,79.36,77.64,79.29,5277700,79.29
2011-05-25,76.96,79.08,76.61,78.75,4500700,78.75
2011-05-24,77.01,77.78,76.66,77.60,3707100,77.60
2011-05-23,77.09,77.74,76.60,76.92,4564600,76.92
2011-05-20,79.34,79.84,78.23,78.23,4304000,78.23
2011-05-19,80.13,80.14,79.41,79.64,3735300,79.64
2011-05-18,80.43,80.43,79.48,80.01,5031800,80.01
2011-05-17,79.80,80.80,79.75,80.60,5528000,80.45
2011-05-16,79.15,81.30,79.12,79.94,4690800,79.79
2011-05-13,80.00,80.18,79.70,79.91,5368500,79.76
2011-05-12,79.09,80.05,79.08,79.93,6269600,79.78
2011-05-11,80.22,80.25,78.95,79.34,4416900,79.19
2011-05-10,79.97,80.70,79.72,80.35,4926600,80.20
2011-05-09,79.13,79.98,79.04,79.86,4773300,79.71
2011-05-06,78.50,79.86,78.27,79.41,7438600,79.26
