Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,53.72,53.97,53.46,53.97,1960600,53.97
2011-07-18,53.33,53.53,53.04,53.50,1540600,53.50
2011-07-15,53.15,53.66,52.87,53.65,2495600,53.65
2011-07-14,53.84,53.96,52.90,53.05,2400800,53.05
2011-07-13,54.04,54.24,53.37,53.38,2613400,53.38
2011-07-12,53.35,54.48,53.24,53.95,2139300,53.95
2011-07-11,53.70,54.03,53.43,53.70,2435700,53.70
2011-07-08,53.84,54.36,53.79,54.32,1893000,54.32
2011-07-07,54.75,54.76,54.38,54.50,2675200,54.50
2011-07-06,53.58,54.29,53.58,54.11,2896000,54.11
2011-07-05,53.95,54.45,53.79,53.83,8711600,53.83
2011-07-01,53.10,54.18,52.94,53.74,24382200,53.74
2011-06-30,53.83,53.83,52.68,52.71,2535200,52.71
2011-06-29,53.84,53.96,53.44,53.57,1910300,53.57
2011-06-28,53.21,53.97,52.72,53.58,2863900,53.58
2011-06-27,52.87,53.20,52.68,52.92,1106800,52.92
2011-06-24,52.95,53.33,52.61,52.75,2406100,52.75
2011-06-23,53.16,53.42,52.40,52.95,2006700,52.95
2011-06-22,53.65,54.13,53.45,53.67,2132700,53.67
2011-06-21,53.59,53.86,53.14,53.83,1211800,53.83
2011-06-20,52.25,53.42,52.25,53.18,1148000,53.18
2011-06-17,52.73,52.99,52.13,52.69,1468800,52.69
2011-06-16,51.93,52.79,51.64,52.36,2366100,52.36
2011-06-15,52.39,52.57,51.48,51.83,1981500,51.83
2011-06-14,52.33,52.82,52.10,52.71,2489200,52.71
2011-06-13,51.31,51.80,50.87,51.31,2476100,51.31
2011-06-10,52.73,52.87,51.11,51.20,2267200,51.20
2011-06-09,53.48,53.48,52.72,52.85,1196800,52.85
2011-06-08,53.34,53.58,53.02,53.20,1296100,53.20
2011-06-07,54.02,54.33,53.64,53.87,1686900,53.30
2011-06-06,54.52,54.54,53.63,53.63,1654400,53.06
2011-06-03,53.92,54.84,53.80,54.50,1040500,53.92
2011-06-02,55.21,55.59,54.53,54.58,1390900,54.00
2011-06-01,56.12,56.27,55.18,55.23,1546900,54.64
2011-05-31,55.90,56.48,55.47,56.40,2766100,55.80
2011-05-27,55.34,55.66,55.31,55.46,1476400,54.87
2011-05-26,54.58,55.26,54.05,55.10,1058700,54.51
2011-05-25,54.75,55.05,54.17,54.75,1081800,54.17
2011-05-24,54.57,55.06,54.40,54.84,2072900,54.25
2011-05-23,54.33,54.74,54.15,54.36,1288000,53.78
2011-05-20,54.83,55.04,54.68,54.80,1440400,54.22
2011-05-19,55.50,55.50,54.54,54.91,1238500,54.32
2011-05-18,54.77,55.41,54.23,55.32,1524200,54.73
2011-05-17,54.12,54.79,54.12,54.65,1585400,54.07
2011-05-16,54.15,54.74,53.98,54.44,1345100,53.86
2011-05-13,55.56,55.74,54.09,54.15,1424700,53.57
2011-05-12,54.62,55.49,54.61,55.33,973000,54.74
2011-05-11,55.91,55.91,54.58,54.89,3463900,54.30
2011-05-10,54.68,54.99,54.48,54.81,1607500,54.22
2011-05-09,54.46,54.83,54.25,54.51,824000,53.93
2011-05-06,56.00,56.04,54.24,54.54,937800,53.96
2011-05-05,55.78,56.10,54.92,55.48,1906800,54.89
2011-05-04,56.48,56.69,55.96,56.07,1406600,55.47
2011-05-03,56.59,56.83,55.58,56.41,1251800,55.81
2011-05-02,56.17,56.67,56.02,56.60,1019000,56.00
2011-04-29,56.82,56.85,54.83,55.93,2361600,55.33
2011-04-28,56.33,57.08,56.32,56.75,1261700,56.14
2011-04-27,56.28,56.50,55.92,56.44,980500,55.84
