Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,31.43,31.70,30.64,30.66,7081800,30.66
2011-08-01,31.80,31.80,31.20,31.48,8932500,31.48
2011-07-29,32.14,32.56,31.49,31.49,12686100,31.49
2011-07-28,34.50,35.03,32.23,32.68,13315100,32.68
2011-07-27,35.61,35.74,35.34,35.51,4781500,35.51
2011-07-26,35.88,36.02,35.56,35.80,2756100,35.80
2011-07-25,35.70,36.15,35.56,35.95,3964300,35.95
2011-07-22,36.53,36.60,35.91,35.97,3251000,35.97
2011-07-21,36.29,36.85,36.24,36.57,3057700,36.57
2011-07-20,36.23,36.51,36.04,36.14,3036100,36.14
2011-07-19,35.78,36.22,35.75,36.06,2923200,36.06
2011-07-18,36.00,36.07,35.63,35.73,3709700,35.73
2011-07-15,36.16,36.30,35.82,36.16,3062500,36.16
2011-07-14,36.62,36.71,36.00,36.05,3402400,36.05
2011-07-13,36.87,36.92,36.49,36.54,3399800,36.54
2011-07-12,36.87,36.87,36.38,36.63,4717200,36.63
2011-07-11,37.34,37.42,37.01,37.15,2466300,37.15
2011-07-08,37.63,37.78,37.43,37.74,2672900,37.74
2011-07-07,37.96,38.06,37.84,38.00,3286300,38.00
2011-07-06,37.60,37.85,37.44,37.73,2588400,37.73
2011-07-05,37.50,37.78,37.39,37.62,2232900,37.62
2011-07-01,37.16,37.68,37.16,37.54,2445600,37.54
2011-06-30,37.09,37.36,36.95,37.27,2798100,37.27
2011-06-29,37.12,37.29,36.96,37.05,3152500,37.05
2011-06-28,36.90,36.94,36.66,36.90,3171200,36.90
2011-06-27,36.82,36.93,36.60,36.82,2088600,36.82
2011-06-24,37.06,37.23,36.67,36.80,2565200,36.80
2011-06-23,36.96,37.10,36.50,37.10,3154700,37.10
2011-06-22,37.31,37.60,37.28,37.29,2209100,37.29
2011-06-21,37.47,37.54,37.26,37.47,2384600,37.47
2011-06-20,36.75,37.55,36.62,37.32,7321800,37.32
2011-06-17,36.70,36.95,36.40,36.74,3545200,36.74
2011-06-16,36.49,36.58,36.25,36.44,3207800,36.44
2011-06-15,36.62,36.70,36.22,36.37,2700200,36.37
2011-06-14,36.84,36.93,36.73,36.84,2382700,36.84
2011-06-13,36.49,36.70,36.36,36.49,2352800,36.49
2011-06-10,36.76,36.78,36.53,36.54,2641900,36.54
2011-06-09,36.80,37.00,36.71,36.91,3362400,36.91
2011-06-08,37.19,37.32,36.71,36.75,5984200,36.75
2011-06-07,37.73,37.76,37.18,37.18,3398600,37.18
2011-06-06,37.92,37.93,37.55,37.55,2260300,37.55
