Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,20.89,21.08,20.86,21.03,3048300,21.03
2011-07-18,21.08,21.16,20.53,20.81,2741400,20.81
2011-07-15,21.42,21.47,21.05,21.19,2360900,21.19
2011-07-14,21.63,21.70,21.22,21.30,2596100,21.30
2011-07-13,21.57,21.91,21.40,21.52,3088100,21.52
2011-07-12,21.46,21.81,21.36,21.40,3632300,21.40
2011-07-11,21.78,21.98,21.36,21.47,4042500,21.47
2011-07-08,22.14,22.19,21.90,22.11,2593300,22.11
2011-07-07,22.47,22.65,22.33,22.51,2504500,22.51
2011-07-06,21.95,22.30,21.73,22.27,4997600,22.27
2011-07-05,22.27,22.30,21.91,22.08,2072300,22.08
2011-07-01,22.02,22.33,21.87,22.30,2302900,22.30
2011-06-30,21.98,22.05,21.76,21.98,2638000,21.98
2011-06-29,21.64,21.99,21.45,21.89,3975200,21.89
2011-06-28,21.52,21.62,21.35,21.49,2805200,21.49
2011-06-27,21.22,21.63,21.21,21.42,6147200,21.42
2011-06-24,21.57,21.57,21.15,21.18,7641100,21.18
2011-06-23,21.15,21.59,20.95,21.52,5519800,21.52
2011-06-22,21.51,21.81,21.39,21.51,4206800,21.51
2011-06-21,21.48,21.74,21.38,21.56,3018600,21.56
2011-06-20,21.21,21.52,21.13,21.35,3910500,21.35
2011-06-17,21.49,21.62,21.14,21.32,4882000,21.32
2011-06-16,21.16,21.43,20.93,21.24,3986600,21.24
2011-06-15,21.37,21.40,20.91,21.13,5799500,21.13
2011-06-14,21.24,21.86,21.20,21.64,6996700,21.64
2011-06-13,20.94,21.39,20.91,20.94,5307900,20.94
2011-06-10,21.10,21.12,20.53,20.87,5370900,20.76
2011-06-09,20.85,21.38,20.82,21.23,6533700,21.12
2011-06-08,21.37,21.40,20.75,20.77,6649300,20.66
2011-06-07,22.15,22.35,21.21,21.36,12927500,21.25
2011-06-06,22.43,22.48,21.98,22.01,3559900,21.89
2011-06-03,22.51,22.78,22.37,22.44,3961600,22.32
2011-06-02,22.97,23.07,22.57,22.85,2826600,22.73
2011-06-01,23.58,23.71,22.88,22.90,5356100,22.78
2011-05-31,23.48,23.70,23.32,23.66,4937800,23.54
2011-05-27,23.23,23.36,23.14,23.21,2477100,23.09
2011-05-26,22.92,23.36,22.83,23.19,2513400,23.07
2011-05-25,23.04,23.21,22.90,23.04,3861400,22.92
2011-05-24,23.28,23.61,23.24,23.24,3854400,23.12
2011-05-23,23.20,23.43,23.03,23.39,3250600,23.27
2011-05-20,23.70,23.78,23.50,23.54,2963500,23.42
2011-05-19,23.43,23.76,23.27,23.74,2982600,23.61
2011-05-18,23.06,23.39,22.93,23.37,1885500,23.25
2011-05-17,22.84,23.07,22.73,23.06,2545200,22.94
2011-05-16,22.86,23.27,22.80,22.95,2757100,22.83
2011-05-13,23.36,23.47,22.90,23.00,3699000,22.88
2011-05-12,23.58,23.58,23.14,23.38,5559200,23.26
2011-05-11,23.97,24.02,23.45,23.67,3310500,23.55
2011-05-10,23.58,24.31,23.58,24.07,3785200,23.94
2011-05-09,23.72,23.80,23.27,23.49,3506500,23.37
2011-05-06,23.67,23.88,23.31,23.45,3114200,23.33
2011-05-05,23.49,23.85,23.16,23.35,4797600,23.23
2011-05-04,23.93,24.17,23.45,23.59,4397400,23.47
2011-05-03,24.28,24.53,23.86,24.20,3772000,24.07
2011-05-02,24.60,24.82,24.26,24.34,3041000,24.21
2011-04-29,24.51,24.65,24.22,24.42,2653700,24.29
2011-04-28,23.98,24.75,23.94,24.61,3977300,24.48
2011-04-27,24.10,24.14,23.82,23.97,3777200,23.84
2011-04-26,23.97,24.45,23.89,24.10,2600000,23.97
2011-04-25,24.09,24.20,23.79,23.83,2153000,23.70
2011-04-21,23.97,24.42,23.77,24.19,3461500,24.06
2011-04-20,24.03,24.18,23.58,23.86,6692300,23.73
2011-04-19,23.76,23.91,23.58,23.68,3239900,23.56
2011-04-18,24.10,24.12,23.54,23.68,5072000,23.56
2011-04-15,24.52,24.64,24.35,24.47,2672300,24.34
2011-04-14,24.57,24.60,24.10,24.37,4268500,24.24
2011-04-13,24.98,24.98,24.59,24.72,5059000,24.59
2011-04-12,24.87,24.91,24.61,24.83,4526200,24.70
2011-04-11,25.19,25.25,24.89,24.98,4814000,24.85
2011-04-08,25.24,25.35,25.03,25.19,2627200,25.06
2011-04-07,24.62,25.39,24.62,25.14,4381300,25.01
2011-04-06,25.11,25.15,24.70,24.75,3617100,24.62
2011-04-05,24.95,25.37,24.87,25.03,4086400,24.90
2011-04-04,24.90,25.43,24.85,25.00,5062900,24.87
2011-04-01,25.07,25.07,24.57,24.78,5930100,24.65
2011-03-31,23.62,24.82,23.56,24.60,6487400,24.47
2011-03-30,23.94,23.99,23.64,23.65,3637000,23.53
2011-03-29,23.69,24.00,23.44,23.84,4457700,23.71
2011-03-28,23.18,23.57,23.16,23.35,2629800,23.23
2011-03-25,23.04,23.26,22.91,23.12,2371600,23.00
2011-03-24,22.90,23.06,22.55,22.94,2368900,22.82
2011-03-23,22.59,22.84,22.29,22.74,2611900,22.62
2011-03-22,22.73,22.80,22.49,22.74,3736800,22.62
2011-03-21,22.35,22.78,22.25,22.72,2693400,22.60
2011-03-18,22.30,22.34,21.85,21.97,4517100,21.85
2011-03-17,22.29,22.29,21.58,21.92,3685000,21.80
2011-03-16,22.24,22.35,21.60,21.81,6492100,21.70
2011-03-15,21.51,22.39,21.47,22.25,6580700,22.13
2011-03-14,21.96,22.52,21.86,22.22,4802600,22.10
2011-03-11,21.99,22.31,21.17,22.22,7752200,22.10
2011-03-10,22.60,23.00,22.20,22.34,4424200,22.11
2011-03-09,23.14,23.27,22.82,22.97,3196900,22.74
2011-03-08,22.87,23.31,22.74,23.20,2227300,22.96
2011-03-07,23.06,23.30,22.58,22.79,2311000,22.56
2011-03-04,23.10,23.12,22.79,22.95,3114800,22.72
2011-03-03,22.98,23.24,22.81,23.10,3762800,22.87
2011-03-02,22.40,22.49,22.03,22.35,2860300,22.12
2011-03-01,23.45,23.45,22.29,22.41,5739800,22.18
2011-02-28,23.43,23.54,23.14,23.35,3714100,23.11
2011-02-25,23.06,23.47,22.99,23.28,3257800,23.04
2011-02-24,23.38,23.41,22.55,22.97,5436800,22.74
2011-02-23,23.74,23.86,23.37,23.42,5712200,23.18
2011-02-22,24.26,24.44,23.43,23.80,7840800,23.56
2011-02-18,23.45,24.66,23.33,24.65,7118700,24.40
2011-02-17,22.97,23.44,22.95,23.40,1583100,23.16
2011-02-16,22.89,23.11,22.89,23.04,2007000,22.81
2011-02-15,22.88,23.09,22.82,22.83,2238100,22.60
2011-02-14,23.25,23.30,22.91,22.97,2039000,22.74
2011-02-11,23.12,23.49,22.97,23.24,2463600,23.00
